Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
4.179	44.5	2.39	0.12504	inf	0	0	0	
4.763	44.5	2.39	0.12504	0	0	0	0	
5.215	44.5	2.39	0.12504	0	0	0	0	
5.652	44.5	2.39	0.12504	0	0	0	0	
6.263	44.5	2.39	0.12504	0	0.0312232	0	0	
6.792	44.5	2.39	0.12504	0	0.0887112	0	0	
7.213	56.35	2.91	0.158027	24.74	0.136666	0	0	
7.709	56.35	2.91	0.158027	0	0.236592	0.0425401	0	
8.262	56.35	2.91	0.158027	0	0.382391	0.170771	0	
8.692	56.35	2.91	0.158027	0	0.506212	0.31869	0	
9.338	64.04	2.95	0.17864	15.46	0.631054	0.467999	0.00442608	
9.735	69.64	3.36	0.194667	12.02	0.704387	0.618048	0.0707049	
10.282	69.64	3.36	0.194667	0	0.720384	0.770692	0.209502	
10.689	69.64	3.36	0.194667	0	0.720384	0.919171	0.357034	
11.25	69.71	3.37	0.19488	0.160004	0.744342	1.06407	0.502409	
11.663	73.72	3.82	0.206773	8.92	0.797882	1.21977	0.65418	
12.226	73.72	3.82	0.206773	0	0.931901	1.37	0.803249	
12.704	73.72	3.82	0.206773	0	1.07949	1.51815	0.954003	
13.214	82.71	4.99	0.233867	20.239	1.228	1.66418	1.10055	
13.979	82.81	5.01	0.234187	0.239526	1.3783	1.81436	1.25355	
14.284	82.81	5.01	0.234187	0	1.53038	1.9633	1.40414	
14.935	82.81	5.01	0.234187	0	1.67619	2.11401	1.55264	
15.348	82.81	5.01	0.234187	0	1.82799	2.26109	1.70204	
15.777	82.99	5.08	0.234853	0.501002	1.97829	2.40926	1.80344	
16.515	83.12	5.11	0.23528	0.319353	2.12859	2.56157	1.83303	
16.927	83.12	5.11	0.23528	0	2.27859	2.71454	1.88149	
17.342	83.12	5.11	0.23528	0	2.42859	2.85914	1.92096	
17.852	87.9	5.36	0.248693	10	2.57797	3.00812	1.9603	
18.312	87.9	5.36	0.248693	0	2.72497	3.15688	2.0333	
18.89	87.9	5.36	0.248693	0	2.87857	3.31076	2.15551	
19.445	87.9	5.36	0.248693	0	3.02279	3.45896	2.29988	
20.002	88.47	5.39	0.250293	1.18577	3.1765	3.60684	2.45324	
20.459	90.2	5.53	0.25528	3.77777	3.3265	3.75803	2.60204	
20.949	90.2	5.53	0.25528	0	3.4771	3.91013	2.75414	
21.376	90.2	5.53	0.25528	0	3.62622	4.05952	2.90233	
21.822	90.95	5.67	0.257653	1.76587	3.77202	4.20622	3.05261	
22.281	91.67	5.72	0.259707	1.5493	3.92352	4.35921	3.20201	
22.862	91.67	5.72	0.259707	0	4.07466	4.50921	3.35247	
23.376	91.67	5.72	0.259707	0	4.22561	4.65739	3.50111	
23.809	95.71	6.03	0.271307	8.68263	4.3744	4.80888	3.60794	
24.41	96.53	6.03	0.273493	1.64329	4.5217	4.95708	3.62254	
24.857	96.53	6.03	0.273493	0	4.6699	5.10578	3.62254	
25.223	96.53	6.03	0.273493	0	4.8235	5.25393	3.63818	
25.751	119.5	7.27	0.338053	48.42	4.97378	5.40488	3.65042	
26.473	119.5	7.27	0.338053	0	5.12168	5.55482	3.66194	
26.861	119.5	7.27	0.338053	0	5.27526	5.69935	3.69208	
27.331	119.5	7.27	0.338053	0	5.42376	5.85405	3.80159	
27.861	119.5	7.27	0.338053	0	5.57526	6.00389	3.94847	
28.483	136.02	7.71	0.38328	33.92	5.72282	6.14807	4.09811	
28.883	136.02	7.71	0.38328	0	5.86916	6.30095	4.24781	
29.433	136.02	7.71	0.38328	0	6.01647	6.45152	4.38813	
29.887	136.02	7.71	0.38328	0	6.07196	6.59996	4.54045	
30.382	138.64	8.11	0.391333	6.05211	6.07196	6.60386	4.69104	
30.943	138.64	8.11	0.391333	0	6.07196	6.60386	4.84194	
31.235	138.64	8.11	0.391333	0	6.07196	6.60386	4.98983	
31.81	138.64	8.11	0.391333	0	6.07196	6.6194	5.13983	
32.387	145.86	8.43	0.41144	15.08	6.07196	6.68533	5.28653	
32.887	145.9	8.45	0.4116	0.118807	6.07196	6.82324	5.44012	
33.337	145.9	8.45	0.4116	0	6.07196	6.97246	5.59013	
33.769	145.9	8.45	0.4116	0	6.07196	7.12	5.74073	
34.37	155.85	8.15	0.437333	19.3	6.07196	7.27177	5.89222	
34.811	155.85	8.15	0.437333	0	6.07196	7.41937	6.04252	
35.413	155.85	8.15	0.437333	0	6.07196	7.57177	6.19222	
35.737	155.85	8.15	0.437333	0	6.07196	7.71997	6.34072	
36.28	156.67	8.14	0.439493	1.62327	6.07196	7.87147	6.49222	
36.879	157.26	8.25	0.44136	1.38888	6.07196	8.01907	6.64222	
37.221	157.26	8.25	0.44136	0	6.11181	8.17084	6.79102	
37.773	157.26	8.25	0.44136	0	6.24316	8.3179	6.94221	
38.276	157.46	8.26	0.44192	0.422518	6.38978	8.46561	7.08921	
38.842	159.61	8.91	0.449387	5.60004	6.53721	8.61561	7.24281	
39.196	159.61	8.91	0.449387	0	6.69074	8.7677	7.39191	
39.777	159.61	8.91	0.449387	0	6.84007	8.91679	7.53994	
40.365	159.96	8.97	0.45048	0.819977	6.87067	9.06799	7.6912	
40.888	171.55	9.8	0.4836	24.7904	6.87067	9.21767	7.83749	
41.41	171.55	9.8	0.4836	0	6.87067	9.36467	7.98216	
41.856	171.55	9.8	0.4836	0	6.87067	9.51704	8.13518	
42.35	171.51	9.85	0.483627	0.020397	6.87067	9.65622	8.28319	
42.876	171.68	10.28	0.485227	1.20239	6.87067	9.80708	8.43414	
43.385	171.68	10.28	0.485227	0	6.87067	9.95738	8.58076	
43.925	171.68	10.28	0.485227	0	6.87067	10.111	8.7337	
44.351	171.68	10.28	0.485227	0	6.87067	10.2607	8.7403	
45.001	171.41	10.7	0.485627	0.300018	6.87067	10.411	8.7403	
45.359	171.41	10.7	0.485627	0	6.88975	10.5613	8.7403	
45.912	171.41	10.7	0.485627	0	6.91802	10.708	8.7403	
46.255	171.41	10.7	0.485627	0	6.94392	10.8613	8.7403	
46.848	171.65	10.83	0.486613	0.73999	6.95973	11.011	8.7403	
47.22	171.65	10.83	0.486613	0	6.97656	11.1592	8.7403	
47.774	171.65	10.83	0.486613	0	7.00118	11.3074	8.7403	
48.444	171.65	10.83	0.486613	0	7.0841	11.4604	8.7403	
48.98	173.24	10.94	0.491147	3.39999	7.21345	11.6101	8.7403	
49.293	173.51	11.01	0.492053	0.679993	7.36108	11.7592	8.75558	
49.939	173.51	11.01	0.492053	0	7.5101	11.9107	8.81874	
50.366	173.51	11.01	0.492053	0	7.65661	12.0568	8.95949	
50.846	173.52	11.09	0.492293	0.180023	7.80638	12.2095	9.11015	
51.325	173.85	12.09	0.49584	2.65997	7.95462	12.3592	9.25678	
51.857	173.85	12.09	0.49584	0	8.10864	12.5083	9.40816	
52.384	173.85	12.09	0.49584	0	8.25768	12.6601	9.54045	
52.874	174.25	12.15	0.497067	0.920013	8.40403	12.8101	9.54045	
53.4	174.09	12.37	0.497227	0.119995	8.55821	12.9601	9.54045	
53.941	174.09	12.37	0.497227	0	8.70879	13.1098	9.54045	
54.353	174.09	12.37	0.497227	0	8.85819	13.2604	9.54045	
54.875	174.22	12.45	0.497787	0.420013	9.00908	13.4077	9.54045	
55.34	173.79	12.54	0.49688	-0.677284	9.15758	13.5526	9.54045	
55.799	173.79	12.54	0.49688	0	9.30788	13.7086	9.55307	
56.299	173.79	12.54	0.49688	0	9.45788	13.8586	9.58114	
56.856	174.12	12.59	0.497893	0.759979	9.60698	14.0074	9.60672	
57.27	174.13	12.58	0.497893	0	9.75578	14.1553	9.63691	
58.103	174.13	12.58	0.497893	0	9.90548	14.3053	9.72226	
58.441	174.13	12.58	0.497893	0	10.0863	14.4858	9.84699	
58.991	175.19	12.68	0.500987	2.88562	10.2066	14.6056	9.95929	
59.362	175.23	12.75	0.50128	0.219094	10.356	14.755	10.1069	
59.931	175.24	12.75	0.501307	0.0200693	10.5045	14.9023	10.255	
60.41	175.24	12.75	0.501307	0	10.6539	14.9338	10.408	
60.764	175.24	12.75	0.501307	0	10.8051	14.9338	10.5551	
61.319	178.23	13.06	0.510107	6.61323	10.9572	14.9338	10.7045	
61.932	178.23	13.06	0.510107	0	11.1066	14.9338	10.8541	
62.338	178.23	13.06	0.510107	0	11.2538	14.9338	11.0068	
62.871	178.23	13.06	0.510107	0	11.4015	14.9338	11.1547	
63.207	189.82	13.6	0.542453	24.26	11.5516	14.9338	11.3051	
63.821	189.84	13.6	0.542507	0.0398492	11.6983	14.9524	11.4542	
64.283	189.84	13.6	0.542507	0	11.8461	14.9638	11.6012	
64.749	189.84	13.6	0.542507	0	11.9958	14.9997	11.7515	
65.285	193.67	14.11	0.55408	8.64541	12.1443	15.1061	11.9024	
65.795	193.72	14.18	0.5544	0.240502	12.2979	15.255	12.053	
66.31	193.72	14.18	0.5544	0	12.4459	15.4047	12.2036	
66.943	193.72	14.18	0.5544	0	12.535	15.5486	12.3497	
67.271	193.81	14.22	0.554747	0.2605	12.535	15.7043	12.5045	
