Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
3.586	44.52	2.37	0.12504	15630	0.0015625	0.00156244	0.00220963	
4.708	44.53	2.36	0.12504	0	0.0015625	0.00156244	0.00220963	
5.664	53.9	2.65	0.1508	9.66	0.156633	0.0015627	0.00441939	
6.683	53.9	2.65	0.1508	0	0.595878	0.0982508	0.00441966	
7.639	57.61	3.04	0.161733	4.1	0.595878	0.0982508	0.00441966	
8.724	57.61	3.04	0.161733	0	1.05586	0.521978	0.0756234	
9.76	61.86	3.15	0.17336	4.36	1.43138	0.946494	0.112762	
10.577	61.86	3.15	0.17336	0	1.69094	1.32987	0.120045	
11.584	62.25	3.15	0.1744	0.389999	1.69094	1.32987	0.120045	
12.639	62.25	3.15	0.1744	0	2.05968	1.71579	0.120198	
13.824	75.32	4.54	0.21296	14.4311	2.44677	2.13057	0.12148	
14.795	75.32	4.54	0.21296	0	2.83567	2.53899	0.264062	
15.819	89.18	5.44	0.25232	14.76	2.83567	2.53899	0.264062	
16.751	89.18	5.44	0.25232	0	3.07876	2.92954	0.640141	
17.717	90.44	5.57	0.256027	1.39	3.10662	3.31739	1.03086	
18.842	90.95	5.62	0.25752	0.559998	3.38429	3.31739	1.48115	
19.8	96.83	5.65	0.27328	5.91	3.38429	3.76744	1.48115	
20.737	97.44	5.68	0.274987	0.63936	3.6328	4.12034	1.84174	
21.865	110.78	6.22	0.312	13.8939	3.9192	4.54714	2.25405	
22.888	110.76	6.24	0.312	0	4.09169	4.93867	2.63612	
24.017	111.46	6.43	0.314373	0.889999	4.09169	4.93867	2.63612	
24.832	111.52	6.41	0.31448	0.039961	4.4736	5.33228	3.06228	
25.766	111.78	6.44	0.315253	0.290291	4.9195	5.7567	3.38665	
27.019	112.84	6.75	0.318907	1.37	5.28	6.13612	3.38665	
27.803	112.84	6.75	0.318907	0	5.28	6.13612	3.88652	
28.733	119.92	6.99	0.338427	7.31268	5.67425	6.53691	4.25608	
29.814	119.92	6.99	0.338427	0	6.2072	6.94422	4.67185	
30.796	133.21	7.49	0.3752	13.79	6.2072	7.33196	4.96715	
31.706	133.21	7.49	0.3752	0	6.54623	7.33196	4.96715	
32.916	134.15	7.56	0.377893	1.00899	6.92965	7.75733	5.51292	
33.778	134.15	7.56	0.377893	0	7.32041	8.17148	5.88086	
34.959	136.84	7.88	0.38592	3.01604	7.63157	8.17148	6.25691	
35.722	136.84	7.88	0.38592	0	7.63157	8.60004	6.25691	
36.802	146.82	8.83	0.415067	10.93	8.12261	9.02066	6.66467	
37.746	146.82	8.83	0.415067	0	8.53632	9.4281	7.05179	
38.866	154.15	9.18	0.435547	7.68001	8.8967	9.4281	7.39597	
39.765	154.15	9.18	0.435547	0	8.8967	9.74597	7.39597	
40.786	162.83	9.63	0.459893	9.1483	9.33403	9.83312	7.8465	
41.801	162.83	9.63	0.459893	0	9.67513	9.83312	8.2823	
42.983	166.81	10.17	0.471947	4.50647	10.0507	9.99055	8.2823	
43.803	166.81	10.17	0.471947	0	10.0507	10.3443	8.71689	
44.626	177.06	10.08	0.49904	10.16	10.0642	10.5648	9.0988	
45.598	177.85	10.15	0.501333	0.859985	10.1928	10.7115	9.41769	
46.729	187.76	10.65	0.529093	10.41	10.6077	10.9764	9.44371	
47.816	187.76	10.65	0.529093	0	10.6077	10.9764	9.44371	
48.759	187.76	10.65	0.529093	0	11.0424	11.3055	9.45153	
