Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
1.839	23.33	1.84	0.04195	25170	0	0	0	
2.834	23.31	1.86	0.04195	0	0	3.4862e-07	0	
3.851	23.31	1.86	0.04195	0	0.00104463	3.4862e-07	0.000905244	
4.962	28.32	3.17	0.0524833	6.30738	0.216225	0.00156282	0.00246984	
5.899	28.32	3.17	0.0524833	0	0.216225	0.104608	0.0046793	
6.908	34.29	3.43	0.0628667	6.23	0.731862	0.399377	0.0787731	
7.885	37.57	4.26	0.0697167	4.09771	1.07807	0.712562	0.235325	
8.931	37.59	4.24	0.0697167	3.81852e-06	1.48381	0.983676	0.245115	
9.895	37.93	4.27	0.0703333	0.37074	1.48381	1.21481	0.246862	
10.93	37.93	4.27	0.0703333	0	1.7191	1.30491	0.299396	
12.022	51.85	5.82	0.0961167	15.47	1.75542	1.51159	0.385468	
13.044	52.19	5.82	0.0966833	0.34	1.85112	1.54981	0.546242	
13.995	59.85	6.24	0.11015	8.08	1.85112	1.56685	0.719264	
14.9	60.78	6.81	0.11265	1.5	2.04784	1.60494	1.02605	
15.948	60.74	7.17	0.113183	0.31968	2.2905	1.78174	1.30485	
17.018	60.74	7.17	0.113183	0	2.5309	2.1153	1.62487	
18.021	61.47	7.75	0.115367	1.31001	2.5309	2.4132	1.92613	
18.897	61.47	7.75	0.115367	0	2.89635	2.74128	2.19364	
19.905	61.8	8.07	0.11645	0.649345	3.38508	3.00983	2.53414	
20.899	61.8	8.07	0.11645	0	3.7052	3.28771	2.86239	
21.91	63.85	8.33	0.1203	2.31001	3.7052	3.6061	3.12448	
22.996	63.85	8.33	0.1203	0	4.16856	3.8895	3.30512	
23.963	66.15	9.11	0.125433	3.07999	4.52164	4.16598	3.36615	
25.027	66.15	9.11	0.125433	0	4.89752	4.5182	3.50542	
25.951	66.42	9.96	0.1273	1.12	4.89752	4.82691	3.73383	
26.998	66.42	9.96	0.1273	0	5.19474	5.09629	3.98829	
27.961	66.53	10.3	0.12805	0.450005	5.20031	5.35165	4.06299	
28.974	66.79	10.52	0.12885	0.479988	5.27379	5.69503	4.16278	
29.936	67.12	10.72	0.129733	0.530006	5.27379	5.98641	4.47311	
30.987	67.02	10.82	0.129733	0	5.59837	6.27884	4.71351	
31.938	67.54	10.93	0.130783	0.629375	5.87623	6.59386	4.75003	
32.979	67.51	10.96	0.130783	-7.63703e-06	6.21638	6.84705	4.83993	
33.965	67.84	11.07	0.131517	0.440002	6.21638	7.19299	5.13594	
34.944	67.83	11.08	0.131517	0	6.65073	7.48921	5.34742	
35.989	70.67	11.64	0.137183	3.41366	7.07697	7.79393	5.43754	
36.957	70.67	11.64	0.137183	0	7.43648	8.05685	5.63045	
37.917	82.07	12.5	0.157617	12.2969	7.43648	8.27174	5.91115	
39.008	82.07	12.5	0.157617	0	7.79737	8.27972	6.23024	
39.986	82.03	12.57	0.157667	0.0299988	8.31247	8.45181	6.51732	
41.03	83.95	12.8	0.16125	2.15	8.62522	8.6998	6.79348	
41.927	83.86	12.89	0.16125	0	8.62522	8.90836	7.10378	
43.112	83.9	13.11	0.161683	0.260002	8.86792	8.94783	7.41484	
43.929	83.86	13.15	0.161683	0	9.33151	9.18468	7.71751	
45.015	85.3	13.47	0.164617	1.75999	9.62016	9.526	7.98758	
46.047	85.45	13.32	0.164617	0	9.62016	9.7267	8.30199	
46.958	85.29	13.49	0.164633	0.0100021	10.0292	9.73121	8.51943	
48	85.29	13.49	0.164633	0	10.2607	9.767	8.5287	
48.885	85.44	13.84	0.165467	0.500501	10.3017	10.0063	8.5358	
49.929	85.44	13.84	0.165467	0	10.3017	10.208	8.63844	
51.015	85.38	13.9	0.165467	0	10.5514	10.2282	8.81698	
51.956	85.38	13.9	0.165467	0	11.0377	10.4176	9.06663	
53.013	85.47	13.91	0.165633	0.0999062	11.3385	10.5661	9.32877	
53.99	85.47	13.91	0.165633	0	11.3385	10.8296	9.67671	
55.022	85.41	13.97	0.165633	-7.62939e-06	11.7616	11.1206	9.95319	
56.036	86.44	14.18	0.1677	1.24	12.2458	11.4142	10.2549	
56.979	86.69	14.39	0.168467	0.459999	12.6033	11.6938	10.5204	
58.003	92.49	14.89	0.178967	6.25	12.6033	12.039	10.8374	
58.953	92.63	15.03	0.179433	0.282257	12.9378	12.3353	11.1537	
59.938	124.22	16.04	0.233767	32.5674	13.4506	12.6335	11.4413	
60.955	124.39	16.15	0.234233	0.27944	13.7563	12.9082	11.7172	
62.061	125.81	16.35	0.236933	1.62487	13.7563	13.2279	12.0314	
62.972	125.8	16.45	0.237083	0.0900116	14.1629	13.55	12.32	
63.983	126.33	16.69	0.238367	0.769989	14.6607	14.0563	12.632	
64.961	126.92	16.82	0.239567	0.720001	14.9654	14.0563	12.944	
65.927	127.75	16.94	0.24115	0.949997	14.9654	14.4167	13.2606	
67.063	130.5	17.24	0.246233	3.05002	15.3928	14.7124	13.541	
68.104	131.71	17.45	0.2486	1.41998	15.8076	15.0646	13.8338	
68.937	132.16	17.67	0.249717	0.669998	16.0225	15.2917	14.1132	
69.963	134.86	17.98	0.254733	3.01001	16.0225	15.5754	14.4602	
70.908	134.91	18.03	0.2549	0.0997913	16.134	15.5835	14.7414	
72.1	144.04	19.02	0.271767	10.1099	16.4396	15.6224	15.031	
73.024	144.04	19.05	0.271817	0.030089	16.8003	15.8714	15.2835	
74.014	147.82	19.45	0.278783	4.17999	16.8003	16.0939	15.6556	
74.952	147.82	19.45	0.278783	0	17.1363	16.1354	15.9844	
75.965	148.35	19.62	0.27995	0.703515	17.644	16.203	16.2976	
77.032	148.35	19.62	0.27995	0	17.942	16.4833	16.5658	
77.976	148.96	19.84	0.281333	0.830002	17.942	16.8086	16.8455	
79.22	148.96	19.84	0.281333	0	18.331	17.1019	17.1709	
80.001	149.91	19.98	0.28315	1.09	18.8143	17.4126	17.4624	
81.078	149.91	19.98	0.28315	0	19.1324	17.7136	17.7535	
82.045	151.23	20.18	0.285683	1.52154	19.1324	17.9577	18.0563	
83.039	151.23	20.18	0.285683	0	19.503	17.9752	18.3581	
84.08	151.52	20.34	0.286433	0.449982	20.0084	17.994	18.6683	
85.024	151.52	20.34	0.286433	0	20.3313	18.0815	18.9274	
86.049	151.46	20.42	0.286467	0.0200043	20.3313	18.4011	19.2363	
86.91	151.43	20.45	0.286467	0	20.6975	18.6429	19.5937	
87.956	151.27	20.7	0.286617	0.0899963	21.0928	18.9599	19.9033	
88.963	151.27	20.7	0.286617	0	21.379	19.2473	20.1876	
90.008	151.27	20.73	0.286667	0.0299988	21.379	19.5195	20.4409	
91.004	151.13	20.89	0.2867	0.0200043	21.7738	19.5485	20.7583	
91.951	151.18	20.97	0.286917	0.130005	22.2026	19.6104	21.0252	
