Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
2.328	93.18	5.52	0.2632	32900	0	0	0	
3.319	94.27	5.65	0.266453	1.22366	0	0	0	
4.366	94.27	5.65	0.266453	0	0.0401494	0	0	
5.329	116.36	6.19	0.3268	22.6074	0.308252	0	0	
6.401	116.36	6.19	0.3268	0	0.595087	0.19224	0	
7.318	119.56	6.44	0.336	3.46038	0.781218	0.490392	0.0083348	
8.223	119.56	6.44	0.336	0	0.940223	0.787888	0.209957	
9.434	158.13	7.43	0.441493	39.56	1.01924	1.08895	0.508464	
10.473	158.8	7.43	0.44328	0.670013	1.02857	1.38921	0.807509	
11.476	164.13	7.62	0.458	5.51999	1.12845	1.68581	1.10629	
12.474	165.24	7.74	0.46128	1.23001	1.3969	1.98502	1.40808	
13.492	165.99	7.81	0.463467	0.819173	1.69371	2.28089	1.70589	
14.536	173.06	8.52	0.484213	7.7878	1.99455	2.58178	2.00498	
15.508	184.65	8.98	0.516347	12.0139	2.19299	2.8804	2.30791	
16.484	186.1	8.95	0.520133	1.42427	2.3086	3.17727	2.6082	
17.435	186.1	8.95	0.520133	0	2.48729	3.33701	2.9022	
18.4	199.46	9.91	0.55832	14.32	2.78324	3.33701	3.20364	
19.372	199.46	9.91	0.55832	0	3.08468	3.34571	3.50806	
20.621	201.39	11.27	0.567093	3.29001	3.38525	3.4021	3.80742	
21.301	201.39	11.27	0.567093	0	3.62887	3.65076	4.10706	
22.366	210.21	11.92	0.592347	9.47	3.92288	3.80766	4.40492	
23.315	210.21	11.92	0.592347	0	4.22412	3.80766	4.70402	
24.416	212.78	12.15	0.599813	2.79999	4.52317	3.80766	5.00353	
25.336	212.78	12.15	0.599813	0	4.82226	3.80766	5.3013	
26.379	213.74	12.41	0.603067	1.22002	5.01036	3.87327	5.60395	
27.436	213.74	12.41	0.603067	0	5.1041	4.12711	5.90215	
28.448	213.96	12.57	0.60408	0.380005	5.38914	4.42672	6.20305	
29.427	213.96	12.57	0.60408	0	5.68253	4.72583	6.50122	
30.398	221.2	12.76	0.623893	7.44487	5.98028	5.02292	6.80181	
