Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
3.988	94.1	5.63	0.265947	16621.7	-0.497003	3.08524e-41	0	
5.131	94.1	5.63	0.265947	0	0.118928	3.08524e-41	0	
6.015	112.64	6.29	0.317147	19.2771	0.118928	0.00262613	0.00349384	
7.036	136.57	7.02	0.382907	24.66	0.538877	0.148207	0.00583744	
8.037	151.22	7.26	0.422613	14.8751	0.953623	0.573709	0.0323607	
9.044	158.38	7.76	0.44304	7.66766	0.953623	0.573709	0.0323607	
10.246	164.2	8.13	0.459547	6.19002	1.33844	1.00491	0.207527	
11.18	166.37	8.34	0.465893	2.37999	1.77836	1.3931	0.209089	
12.281	169.64	8.5	0.47504	3.42658	2.14747	1.7802	0.209179	
13.199	173.5	8.52	0.485387	3.88389	2.14747	1.7802	0.209179	
14.225	175.78	8.64	0.491787	2.39999	2.53478	2.20026	0.255968	
15.142	175.78	8.64	0.491787	0	2.96679	2.59989	0.338011	
16.152	181.35	8.76	0.50696	5.69568	3.37521	2.9633	0.396078	
17.255	181.35	8.76	0.50696	0	3.37521	2.9633	0.396078	
18.056	188.81	9	0.527493	7.70001	3.73392	3.43128	0.45506	
19.191	188.81	9	0.527493	0	4.1263	3.79712	0.528399	
20.182	197.07	9.47	0.550773	8.72127	4.58549	4.16757	0.979248	
21.099	197.07	9.47	0.550773	0	4.58549	4.16757	0.979248	
21.994	202.57	9.69	0.566027	5.72	4.94909	4.56407	1.30815	
23.078	202.57	9.69	0.566027	0	5.37423	5.01291	1.77593	
24.164	211.34	10.28	0.590987	9.37876	5.71708	5.37382	2.13537	
25.149	211.34	10.28	0.590987	0	5.71708	5.37382	2.13537	
26.224	222.16	11.34	0.622667	11.88	6.1437	5.79589	2.55648	
27.117	222.16	11.34	0.622667	0	6.63083	6.17448	2.9409	
28.147	234.62	12.86	0.659947	13.9521	6.97957	6.54338	3.30346	
29.105	234.62	12.86	0.659947	0	6.97957	6.54338	3.30346	
30.035	248.26	14.74	0.701333	15.52	7.3616	6.94757	3.73562	
31.125	248.26	14.74	0.701333	0	7.78281	7.23445	4.14928	
32.194	254.67	15.01	0.719147	6.67332	8.14975	7.23445	4.48443	
33.156	254.77	14.98	0.719333	0.0700073	8.14975	7.23602	4.48443	
34.124	257.37	14.82	0.72584	2.42786	8.44348	7.28117	4.88457	
35.093	258.2	14.91	0.728293	0.925536	8.65772	7.66893	5.32272	
36.177	259.04	14.95	0.73064	0.880005	9.0372	7.98097	5.32272	
37.16	262.51	15.15	0.740427	3.66998	9.34996	7.98097	5.78445	
38.166	265.26	15.82	0.749547	3.42001	9.34996	8.35525	6.13128	
39.069	265.13	15.95	0.749547	0	9.36761	8.63762	6.5247	
39.994	268.47	16.86	0.76088	4.25	9.3703	8.72088	6.93498	
41.248	268.46	16.87	0.76088	0	9.3703	8.72088	6.93498	
42.141	268.46	16.87	0.76088	0	9.3749	9.11676	7.33021	
43.096	269.33	17.49	0.764853	1.48999	9.37879	9.50235	7.72226	
44.064	269.33	17.49	0.764853	0	9.41928	9.89851	8.10181	
45.111	283.36	18.38	0.80464	14.9349	9.41928	9.89851	8.10181	
46.276	283.36	18.38	0.80464	0	9.67966	10.3154	8.35434	
47.141	287.96	18.61	0.81752	4.82999	10.1111	10.6895	8.36335	
48.088	287.96	18.61	0.81752	0	10.4788	11.0959	8.60744	
49.092	287.97	19.32	0.81944	0.720032	10.4788	11.0959	8.60744	
50.186	287.97	19.32	0.81944	0	10.8887	11.5159	9.00481	
51.242	288.03	19.38	0.81976	0.119995	11.113	11.9105	9.40551	
52.144	288.36	19.38	0.82064	0.329987	11.2343	12.3162	9.80298	
53.061	288.32	19.42	0.82064	0	11.2343	12.3162	9.80298	
54.102	292.96	19.7	0.83376	4.92001	11.6097	12.7035	10.2206	
55.051	293.19	19.73	0.834453	0.26001	12.0417	13.1053	10.6006	
56.09	293.69	19.77	0.835893	0.539978	12.4029	13.4934	10.9911	
57.339	295.44	19.97	0.841093	1.95001	12.4029	13.4934	10.9911	
58.135	296.67	20.07	0.84464	1.32999	12.7779	13.9181	11.2971	
59.151	299.51	20.27	0.852747	3.03391	13.1946	14.3019	11.3011	
60.03	299.52	20.27	0.852773	0.0100298	13.585	14.6988	11.3012	
61.19	300.05	20.32	0.85432	0.580017	13.585	14.6988	11.3012	
62.2	300.29	20.35	0.85504	0.268913	13.9778	15.1093	11.3027	
63.051	301.04	20.43	0.857253	0.83165	14.404	15.4885	11.3028	
64.064	301.25	20.45	0.857867	0.230503	14.7982	15.8784	11.305	
65.141	301.25	20.45	0.857867	0	14.7982	15.8784	11.305	
66.155	305.1	20.67	0.86872	4.07001	15.175	16.303	11.3081	
67.215	306.24	20.67	0.87176	1.13998	15.6157	16.5227	11.313	
68.105	306.24	20.67	0.87176	0	16.0063	16.5309	11.4341	
69.266	306.25	20.67	0.871787	0.00999977	16.0063	16.5309	11.4341	
70.161	306.39	20.64	0.87208	0.110095	16.3769	16.7657	11.7205	
71.13	306.39	20.64	0.87208	0	16.8079	17.0421	12.1115	
72.031	306.7	20.63	0.87288	0.299988	17.1954	17.0435	12.4952	
73.24	306.7	20.63	0.87288	0	17.1954	17.0435	12.4952	
74.274	306.7	20.63	0.87288	0	17.5716	17.0447	12.9045	
75.168	307.22	20.65	0.87432	0.540009	18.0063	17.0481	13.2925	
76.129	307.22	20.65	0.87432	0	18.3808	17.0495	13.7114	
77.139	308.34	20.65	0.877307	1.11888	18.3808	17.0495	13.7114	
78.151	308.34	20.63	0.877253	-0.020009	18.7665	17.053	14.1191	
79.17	308.7	20.81	0.878693	0.539978	19.2066	17.053	14.5	
80.086	308.7	20.83	0.878747	0.0200195	19.5865	17.0552	14.8896	
81.192	308.32	21.21	0.878747	-3.05176e-05	19.5865	17.0552	14.8896	
82.269	308.32	21.21	0.878747	0	19.9779	17.0567	15.3147	
83.023	308.18	21.35	0.878747	3.05481e-05	20.3129	17.0627	15.6888	
84.007	308.18	21.35	0.878747	0	20.3155	17.0698	16.0895	
85.126	308.18	21.35	0.878747	0	20.3155	17.0698	16.0895	
85.97	308.18	21.35	0.878747	0	20.3853	17.0709	16.5133	
87.175	309.28	22.12	0.883733	1.88128	20.7491	17.2391	16.9087	
88.241	309.28	22.12	0.883733	0	21.1316	17.6381	17.3049	
89.197	309.32	22.52	0.884907	0.439972	21.1316	17.6381	17.3049	
90.115	309.32	22.52	0.884907	0	21.5185	18.0347	17.6128	
91.085	309.54	22.3	0.884907	0	21.9419	18.4257	17.6721	
92.183	309.52	22.32	0.884907	3.05176e-05	22.3311	18.7073	18.0309	
93.052	309.52	22.32	0.884907	0	22.3311	18.7073	18.0309	
94.139	309.46	22.38	0.884907	0	22.69	18.7155	18.434	
95.24	309.46	22.38	0.884907	0	22.9901	18.7233	18.7841	
96.098	309.4	22.44	0.884907	0	23.3624	18.7268	19.055	
97.182	309.4	22.44	0.884907	0	23.3624	18.7268	19.055	
98.201	309.36	22.48	0.884907	0	23.7559	18.7347	19.471	
99.088	309.37	23.92	0.888773	1.45146	24.2536	18.7358	19.8585	
100.207	309.33	23.96	0.888773	-3.04871e-05	24.569	18.7399	20.2589	
101.105	309.33	23.96	0.888773	0	24.569	18.7399	20.2589	
102.108	309.33	23.96	0.888773	0	24.9531	18.7421	20.6645	
103.156	309.33	23.96	0.888773	0	25.3807	18.7443	21.05	
104.257	309.41	23.88	0.888773	3.05176e-05	25.773	18.7522	21.4403	
105.094	309.41	23.88	0.888773	0	25.773	18.7522	21.4403	
106.218	309.37	23.92	0.888773	0	26.1488	18.7563	21.8436	
107.153	309.37	24.1	0.889253	0.179454	26.5722	18.9184	22.2327	
108.178	309.37	24.1	0.889253	0	26.9576	19.3079	22.6586	
109.178	309.37	24.11	0.88928	0.0100098	26.9576	19.3079	22.6586	
110.101	309.37	24.11	0.88928	0	27.3638	19.7056	23.0667	
111.196	309.33	24.15	0.88928	-3.05176e-05	27.7914	20.0928	23.3345	
112.234	309.33	24.15	0.88928	0	28.1674	20.3332	23.574	
113.001	309.33	24.15	0.88928	0	28.1674	20.3332	23.574	
114.063	309.33	24.15	0.88928	0	28.5637	20.3348	23.9887	
115.076	309.35	24.13	0.88928	3.05176e-05	28.9868	20.3381	24.3746	
116.079	309.35	24.13	0.88928	0	29.3643	20.3414	24.7623	
117.058	309.35	24.13	0.88928	0	29.3643	20.3414	24.7623	
118.105	309.26	23.16	0.886453	-1.06109	29.7914	20.3432	25.1874	
119.109	309.26	23.16	0.886453	0	30.1881	20.3451	25.5663	
120.155	309.28	23.14	0.886453	3.05176e-05	30.575	20.3501	25.9609	
121.028	309.28	23.16	0.886507	0.019989	30.575	20.3501	25.9609	
122.221	309.31	23.46	0.887387	0.329657	30.972	20.3523	26.384	
123.167	309.31	23.46	0.887387	0	31.4021	20.3545	26.7801	
124.122	309.31	23.77	0.888213	0.30907	31.7766	20.3561	27.1835	
125.236	309.35	23.73	0.888213	3.05787e-05	31.7766	20.3561	27.1835	
126.162	309.31	24.07	0.889013	0.299988	32.1591	20.3562	27.5897	
127.062	309.31	24.07	0.889013	0	32.5956	20.5389	27.9708	
128.11	309.25	24.14	0.88904	0.0100098	32.9631	20.925	28.3915	
129.035	309.25	24.14	0.88904	0	32.9631	20.925	28.3915	
130.159	309.21	24.15	0.88896	-0.0300293	33.3856	21.3382	28.794	
131.171	309.21	24.15	0.88896	0	33.7877	21.7282	29.1089	
132.205	312.09	24.6	0.89784	3.33002	34.1617	21.9445	29.1146	
133.175	312.09	24.6	0.89784	0	34.1617	21.9445	29.1146	
134.226	312.09	24.65	0.897973	0.0499379	34.5507	21.9461	29.116	
135.186	312.09	24.65	0.897973	0	34.9621	21.9481	29.1182	
136.238	312.09	24.78	0.89832	0.130265	35.3679	21.9484	29.1198	
137.103	312.09	24.78	0.89832	0	35.3679	21.9484	29.1198	
138.177	312.36	24.78	0.89904	0.269719	35.7441	21.9484	29.1986	
139.007	312.36	25.17	0.90008	0.390405	36.1485	21.9499	29.584	
140.237	317.58	26.5	0.917547	6.51092	36.5576	21.9521	29.9774	
141.142	317.58	26.5	0.917547	0	36.5576	21.9521	29.9774	
142.123	318.76	26.65	0.921093	1.32999	36.9486	21.9521	30.3844	
