Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
1.942	133.85	3.01	0.36496	27372	-1.07515e-20	3.0907e-41	0	
2.901	133.85	3.01	0.36496	0	0	0	0	
3.96	133.78	3.1	0.365013	0.0200195	0	0	2.63709e-07	
4.865	133.78	3.1	0.365013	0	0.00156255	0.00137505	2.63709e-07	
5.972	134.61	3.09	0.3672	0.819992	0.140103	0.00156249	0.00137525	
6.901	134.61	3.09	0.3672	0	0.557046	0.128029	0.00156265	
7.913	162.85	3.31	0.443093	28.4885	0.557046	0.128029	0.00156265	
8.958	163.38	4.12	0.446667	1.34	1.02643	0.542276	0.0814933	
9.928	163.79	4.15	0.44784	0.440002	1.39437	0.946323	0.404066	
10.945	163.79	4.15	0.44784	0	1.7675	1.33517	0.668556	
12.102	165.07	7.5	0.460187	4.62538	1.7675	1.33517	0.668556	
13.148	165.07	7.5	0.460187	0	2.18934	1.70944	0.956491	
14.02	182.04	10.35	0.51304	19.82	2.57319	2.03068	1.02171	
15.11	182.04	10.35	0.51304	0	2.94022	2.37881	1.02171	
16.014	192.05	11.3	0.542267	10.971	2.94022	2.37881	1.40828	
16.969	192.05	11.3	0.542267	0	3.34926	2.85038	1.77564	
18.102	194.41	11.42	0.54888	2.48	3.86529	3.18792	2.14918	
19.163	194.41	11.42	0.54888	0	4.19338	3.60996	2.5535	
20.107	197.82	11.74	0.558827	3.73	4.19338	3.60996	2.5535	
21.04	197.82	11.74	0.558827	0	4.59809	3.99817	2.95559	
21.946	200.8	12.01	0.567493	3.24351	4.98614	4.40931	3.34423	
23.085	200.8	12.01	0.567493	0	5.37495	4.80221	3.73458	
24.136	217.13	12.61	0.61264	16.9131	5.37495	4.80221	3.73458	
25.176	217.13	12.61	0.61264	0	5.77152	5.21773	4.01779	
26.043	254.34	13.46	0.714133	38.06	6.18094	5.59013	4.22656	
27.091	254.34	13.46	0.714133	0	6.56582	6.0174	4.6152	
28.233	254.6	13.48	0.71488	0.279999	6.56582	6.0174	4.6152	
29.078	254.6	13.48	0.71488	0	7.04219	6.41133	5.07508	
30.146	254.94	13.59	0.71608	0.454558	7.38542	6.79043	5.40436	
31.204	254.94	13.59	0.71608	0	7.76385	7.21681	5.44436	
32.067	255.01	13.65	0.716427	0.130658	7.76385	7.21681	5.44436	
33.31	255.28	13.67	0.7172	0.289978	8.15846	7.58966	5.53364	
34.085	255.68	13.92	0.718933	0.650024	8.62456	7.91385	6.0023	
35.237	256.88	13.98	0.722293	1.25998	8.91085	7.99086	6.0023	
36.102	256.71	14.06	0.722053	-0.0899963	8.91085	7.99086	6.41808	
37.098	272.11	14.58	0.764507	15.92	9.44199	8.37064	6.78742	
38.071	272.11	14.58	0.764507	0	9.7867	8.7966	7.11132	
39.12	272.64	14.73	0.76632	0.679344	9.7867	9.18237	7.11132	
40.074	272.64	14.73	0.76632	0	10.2255	9.18237	7.60429	
41.053	274.02	14.9	0.770453	1.54535	10.4612	9.56647	7.95703	
42.052	274.04	14.9	0.770507	0.0200492	10.5049	9.96792	8.3445	
43.251	275.7	15.15	0.7756	1.9081	10.5877	10.391	8.74597	
43.983	275.7	15.15	0.7756	0	10.5877	10.391	8.74597	
45.05	286.46	15.21	0.804453	10.7876	10.7611	10.7643	9.11149	
46.198	286.46	15.21	0.804453	0	11.1932	11.1569	9.60298	
47.242	287.66	15.59	0.808667	1.57059	11.1932	11.5389	9.9217	
48.001	287.66	15.59	0.808667	0	11.6471	11.5389	9.9217	
49.185	287.69	15.68	0.808987	0.119995	12.0195	11.9778	10.3585	
50.157	287.69	15.68	0.808987	0	12.3586	12.3884	10.763	
51.143	287.77	15.74	0.80936	0.139984	12.6976	12.7784	11.1161	
51.985	287.77	15.74	0.80936	0	12.6976	12.7784	11.1161	
53.113	287.91	15.65	0.809493	0.0500684	13.2082	13.1727	11.6113	
53.959	287.91	15.65	0.809493	0	13.5405	13.5613	11.9739	
55.244	295.3	16.14	0.830507	7.88	13.9341	13.9751	12.3472	
55.938	297.1	16.31	0.83576	1.96997	13.9341	13.9751	12.3472	
57.042	300.55	16.54	0.845573	3.68002	14.3197	14.3869	12.7285	
58.125	310.26	17.04	0.8728	10.21	14.7662	14.7475	13.2035	
59.156	312.72	17.23	0.879867	2.65002	15.1189	15.1285	13.2035	
60.206	326.41	17.4	0.916827	13.86	15.1189	15.1285	13.6164	
