Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
3.054	133.79	3.09	0.365013	45626.7	0	0	0	
4.092	133.79	3.09	0.365013	0	0	0	0	
5.077	133.79	3.09	0.365013	0	0	0	0	
6.086	133.77	3.11	0.365013	0	0.102657	0	0	
7.048	133.77	3.11	0.365013	0	0.396785	0.00793885	0	
8.04	158.1	3.33	0.43048	24.55	0.696974	0.219075	0	
8.983	158.1	3.33	0.43048	0	0.990782	0.51496	5.50382e-19	
10.195	171.36	7.14	0.476	17.1214	1.28839	0.811787	0.126217	
11.119	171.36	7.14	0.476	0	1.57587	1.11236	0.229156	
12.233	184.37	9.45	0.516853	15.3507	1.6352	1.41292	0.482098	
13.185	184.37	9.45	0.516853	0	1.63964	1.71347	0.788359	
14.284	186.92	10.85	0.527387	3.95397	1.71378	2.01317	1.00984	
15.178	186.92	10.85	0.527387	0	1.73719	2.31257	1.1107	
16.318	191.94	11.31	0.542	5.48	1.88693	2.60984	1.39442	
17.155	191.94	11.31	0.542	0	2.18182	2.91014	1.69182	
18.304	192.62	11.46	0.544213	0.830002	2.48358	3.21164	1.99352	
19.244	192.62	11.46	0.544213	0	2.78	3.40076	2.29073	
20.275	202.9	12.18	0.573547	11	3.0842	3.57178	2.5854	
21.239	202.9	12.18	0.573547	0	3.38179	3.86765	2.88737	
22.216	212.99	12.99	0.602613	10.9109	3.68122	4.16574	3.18355	
23.192	212.99	12.99	0.602613	0	3.97337	4.46004	3.48088	
24.265	212.99	13.14	0.603013	0.149396	4.27528	4.76454	3.78604	
25.197	212.9	13.33	0.60328	0.100392	4.57446	5.05973	4.08484	
26.21	212.94	14.21	0.605733	0.919094	4.87206	5.35458	4.38604	
27.132	212.94	14.3	0.605973	0.0900864	5.17145	5.65311	4.68061	
28.375	212.66	14.76	0.606453	0.179813	5.47475	5.95499	4.98271	
29.255	212.63	14.79	0.606453	0	5.77174	6.25138	5.28243	
30.362	212.99	15.03	0.608053	0.598809	6.07294	6.54169	5.57927	
31.295	220.02	15.41	0.627813	7.4323	6.37504	6.84036	5.88166	
32.249	220.47	15.59	0.629493	0.62999	6.64924	7.13798	6.18106	
33.138	249.08	16.46	0.708107	29.48	6.77713	7.43858	6.47892	
34.242	249.58	16.55	0.70968	0.589996	7.07411	7.73366	6.78337	
35.269	257.6	16.78	0.73168	8.25	7.37388	8.03337	7.08247	
36.349	258.83	16.09	0.73312	0.540009	7.67298	8.33198	7.38216	
37.38	258.68	16.24	0.73312	0	7.97567	8.62737	7.67796	
38.248	260.38	16.25	0.73768	1.70999	8.27473	8.92948	7.98066	
39.173	260.44	16.53	0.738587	0.33901	8.575	9.22925	8.28155	
40.223	263.15	16.71	0.746293	2.89868	8.87319	9.52619	8.57821	
41.151	263.02	16.84	0.746293	0	9.17403	9.82751	8.87881	
42.176	263.02	16.84	0.746293	0	9.47013	10.1245	9.17701	
43.304	266.7	17.36	0.757493	4.19998	9.77463	10.4263	9.47777	
44.331	266.7	17.36	0.757493	0	9.86703	10.7244	9.7747	
45.177	273.63	17.22	0.7756	6.79001	9.86703	11.0117	10.074	
46.205	273.63	17.22	0.7756	0	9.86703	11.0613	10.3697	
47.17	275.49	17.34	0.78088	2.02042	9.86703	11.0887	10.675	
48.307	275.43	17.4	0.78088	0	9.86703	11.2678	10.9692	
49.238	278.32	17.63	0.7892	3.12625	9.86703	11.5696	11.274	
50.26	281.96	18.7	0.80176	4.71946	9.86703	11.8673	11.5752	
51.124	285.77	18.68	0.811867	3.78998	9.86703	12.166	11.8725	
52.433	285.63	18.9	0.81208	0.0800171	9.86703	12.4603	12.1721	
53.172	288.15	19.11	0.81936	2.72998	9.86703	12.7641	12.4684	
54.307	288.07	19.19	0.81936	0	9.86703	13.0641	12.7643	
55.188	292.65	19.7	0.832933	5.08494	9.86703	13.3629	13.0621	
56.26	292.69	19.66	0.832933	0	9.86703	13.5161	13.3621	
57.197	313.3	20.2	0.889333	21.15	9.86703	13.5252	13.6609	
58.284	313.25	20.27	0.889387	0.019989	9.86703	13.5893	13.8204	
59.152	327.29	20.63	0.927787	14.4	9.88071	13.8419	14.0882	
