Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
2.117	133.85	3.03	0.365013	15208.9	-1.02972e+35	3.08678e-41	0	
3.1	133.81	3.07	0.365013	1.53974e-05	0	0	0	
4.1	133.81	3.07	0.365013	0	0.00156252	2.66871e-07	0.00156249	
5.022	141.94	3.08	0.38672	8.13998	0.0692514	3.33387e-07	0.00377216	
6.127	141.9	3.12	0.38672	0	0.385403	0.0498048	0.00533461	
7.025	146.21	3.16	0.39832	4.35436	0.726857	0.348442	0.0160953	
8.151	167.6	4	0.4576	22.1856	1.0892	0.5888	0.200418	
9.113	167.67	4	0.457787	0.0701476	1.39566	0.951674	0.491308	
10.187	185.85	8.62	0.518587	22.8	1.66727	1.31896	0.765334	
11.112	185.7	8.84	0.518773	0.0700073	1.94387	1.65528	1.059	
12.159	190.94	11	0.538507	7.40001	2.26425	1.95894	1.26107	
13.195	190.94	11	0.538507	0	2.49915	2.21233	1.60714	
14.419	190.8	11.65	0.539867	0.506449	2.81653	2.50115	1.60714	
15.327	190.8	11.65	0.539867	0	3.17628	2.50115	1.99747	
16.224	191.26	11.73	0.541307	0.540534	3.54209	2.93665	2.39025	
17.192	191.26	11.73	0.541307	0	3.8394	3.2721	2.76219	
18.166	192.94	12.12	0.546827	2.07001	4.14028	3.59317	3.10935	
19.462	192.94	12.12	0.546827	0	4.41146	3.98692	3.10935	
20.256	196.46	12.57	0.557413	3.97	4.75669	4.38697	3.48274	
21.272	196.46	12.57	0.557413	0	5.02614	4.38697	3.90649	
22.287	204.83	13.29	0.581653	9.09001	5.02614	4.78859	4.22459	
23.361	204.83	13.29	0.581653	0	5.37314	5.10574	4.48755	
24.212	214	13.92	0.607787	9.79999	5.69543	5.47927	4.90798	
25.183	214	13.92	0.607787	0	5.99373	5.82023	5.22219	
26.303	237.38	14.63	0.672027	24.1383	6.33631	6.17978	5.56884	
27.276	237.38	14.63	0.672027	0	6.63428	6.17978	5.56884	
28.327	237.95	14.67	0.673653	0.609985	6.91909	6.63469	5.87845	
29.22	238.13	14.65	0.67408	0.160004	7.20658	6.99584	6.28793	
30.362	239.11	14.69	0.6768	1.01695	7.51144	7.30676	6.56349	
31.177	239.23	14.71	0.677173	0.140421	7.82725	7.67394	6.58407	
32.293	240.88	14.79	0.681787	1.73	8.15592	7.90984	6.6303	
33.33	258.14	14.81	0.727867	17.2627	8.44491	8.25496	6.6303	
34.242	260.09	14.85	0.733173	1.99201	8.72865	8.25496	6.84607	
35.298	260.5	14.98	0.734613	0.540009	9.01691	8.66215	7.22059	
36.386	263.35	15	0.742267	2.86424	9.28052	9.04337	7.51572	
37.146	264	14.99	0.743973	0.641297	9.60389	9.44356	7.66149	
38.373	264	14.99	0.743973	0	9.79788	9.7937	7.98676	
39.16	276.52	16.1	0.78032	13.6436	10.035	9.7937	8.41029	
40.246	276.52	16.1	0.78032	0	10.421	10.2113	8.41029	
41.209	280.15	16.26	0.790427	3.78244	10.7467	10.5554	8.73981	
42.436	280.15	16.26	0.790427	0	11.0562	10.8529	9.02604	
43.215	283.46	16.62	0.800213	3.65901	11.4429	11.1606	9.32405	
44.277	283.46	16.62	0.800213	0	11.4429	11.1738	9.68511	
45.284	285.43	17.29	0.807253	2.64001	11.788	11.1738	10.0197	
46.365	285.43	17.29	0.807253	0	12.0853	11.4532	10.3494	
47.373	286.36	17.45	0.81016	1.09	12.3929	11.8476	10.6821	
48.252	286.36	17.45	0.81016	0	12.7023	12.1384	11.025	
49.35	293.07	17.6	0.828453	6.81907	13.0417	12.1742	11.025	
50.255	293.14	17.6	0.82864	0.0704299	13.4179	12.1742	11.324	
51.102	294.47	17.73	0.832533	1.46002	13.7457	12.3555	11.6326	
52.264	295.13	17.81	0.834507	0.739251	14.0786	12.7166	11.9656	
53.378	296.35	17.96	0.83816	1.37134	14.4642	13.0143	12.3036	
54.233	296.89	18.14	0.84008	0.720032	14.4642	13.0405	12.5339	
55.241	297.54	18.2	0.841973	0.709282	14.8961	13.0493	12.8498	
56.236	297.66	18.08	0.841973	3.05481e-05	15.2269	13.2285	12.8498	
57.315	297.64	18.1	0.841973	-3.05176e-05	15.5646	13.5782	13.2133	
58.451	299.28	18.27	0.8468	1.81	15.9254	13.5782	13.5949	
59.504	299.28	18.27	0.8468	0	15.9254	13.9573	13.9946	
60.285	306.33	18.89	0.867253	7.54923	16.3527	14.3617	13.9946	
61.406	306.33	18.89	0.867253	0	16.7107	14.723	14.4563	
62.308	328.96	20.26	0.931253	24.0481	17.0958	15.0756	14.8558	
