Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
2.851	44.53	2.36	0.12504	7815	0	0	0	
3.905	44.53	2.36	0.12504	0	0	0	0	
4.928	44.53	2.36	0.12504	0	0	0	0	
5.816	44.53	2.36	0.12504	0	0	0	0	
6.819	44.53	2.36	0.12504	0	0	0	0	
7.812	44.53	2.38	0.125093	0.0199805	0.0154396	0	0	
8.889	44.53	2.38	0.125093	0	0.117229	1.72932e-19	0.00603777	
10.005	75.91	5.02	0.215813	33.986	0.144915	9.30412e-19	0.135982	
11.016	75.91	5.02	0.215813	0	0.183302	0.0680594	0.270464	
11.953	90.38	6.74	0.258987	16.19	0.348338	0.134949	0.538644	
13.208	90.38	6.74	0.258987	0	0.642906	0.17465	0.620902	
14.025	92.25	7.79	0.266773	2.92293	0.936737	0.223954	0.911625	
14.976	92.25	7.79	0.266773	0	1.02983	0.479613	1.21635	
15.931	92.71	7.8	0.268027	0.469532	1.29846	0.78022	1.51476	
16.883	92.71	7.8	0.268027	0	1.5973	1.07828	1.81448	
17.944	93.25	7.86	0.269627	0.601201	1.89525	1.37561	2.11328	
18.952	93.25	7.86	0.269627	0	2.19399	1.67024	2.40641	
19.847	92.95	8.44	0.270373	0.279999	2.4937	1.96891	2.70529	
21.093	92.95	8.44	0.270373	0	2.78772	2.2678	3.00193	
22.02	93	8.82	0.27152	0.429142	3.07232	2.56681	3.29324	
23.005	93	8.82	0.27152	0	3.37154	2.86353	3.59186	
24.105	93.28	8.95	0.272613	0.410004	3.67093	3.15624	3.88801	
24.921	93.61	9.11	0.27392	0.489998	3.97059	3.19399	4.18536	
26.134	94.18	9.3	0.275947	0.757729	4.26965	3.44581	4.48682	
27.086	94.73	9.52	0.278	0.772306	4.56458	3.7438	4.78643	
27.924	98.1	10.07	0.288453	3.92001	4.86266	4.0402	5.08371	
28.944	99.66	10.66	0.294187	2.15	5.16406	4.33945	5.38576	
29.933	131.77	12.89	0.38576	34.34	5.46127	4.46956	5.68295	
30.865	135.8	13.94	0.399307	5.08	5.75882	4.76242	5.91524	
31.949	136.94	14.4	0.403573	1.59999	6.05792	5.05821	6.01197	
32.978	141.49	14.8	0.416773	4.95001	6.355	5.3183	6.06558	
34.002	141.81	15	0.41816	0.518449	6.65124	5.4656	6.11761	
35.063	141.91	15.23	0.41904	0.33098	6.95044	5.76281	6.16885	
36.029	141.84	15.3	0.41904	1.52435e-05	7.24891	6.06282	6.22086	
36.937	142.94	15.65	0.422907	1.45146	7.54659	6.35844	6.26454	
38.043	142.94	15.65	0.422907	0	7.84715	6.65642	6.47957	
39.045	150.88	16.72	0.446933	9.00998	8.14625	6.92811	6.78023	
39.866	150.88	16.72	0.446933	0	8.44594	7.05355	7.07738	
41	155.5	17.11	0.460293	5.01001	8.74564	7.10643	7.37474	
41.934	155.5	17.11	0.460293	0	9.0426	7.16122	7.6741	
42.938	155.85	17.45	0.462133	0.689987	9.34463	7.28779	7.97649	
43.952	155.85	17.45	0.462133	0	9.6446	7.58434	8.27673	
44.955	156.21	17.86	0.464187	0.770004	9.94437	7.87924	8.57282	
45.929	156.21	17.86	0.464187	0	10.2437	8.18251	8.87697	
46.931	157.69	18.31	0.469333	1.93194	10.5443	8.4793	9.17577	
47.931	157.69	18.31	0.469333	0	10.8401	8.7775	9.47397	
49.001	157.53	18.82	0.470267	0.349308	11.0932	9.07899	9.77305	
50.162	170.14	19.24	0.505013	13.0561	11.1732	9.37719	10.0766	
50.953	170.19	19.52	0.505893	0.330002	11.2289	9.67693	10.3754	
51.924	170.19	19.52	0.505893	0	11.2753	9.97986	10.6724	
52.888	171.33	19.83	0.50976	1.45436	11.3197	10.2799	10.9642	
