Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
2.056	23.31	1.86	0.04195	25170	0	0	0	
3.071	23.31	1.86	0.04195	0	0	0	0	
4.075	23.31	1.86	0.04195	0	0	0	0	
5.063	23.31	1.86	0.04195	0	0	0	0	
6.019	23.31	1.86	0.04195	0	0	0	0	
7.105	23.31	1.86	0.04195	0	0	0	0	
8.063	23.31	1.86	0.04195	0	0	0	0	
9.024	23.31	1.86	0.04195	0	0	0	0	
10.015	23.31	1.86	0.04195	0	0	0	0	
11.023	23.31	1.86	0.04195	0	8.80914e-20	0	0	
12.012	23.31	1.86	0.04195	0	0.0202039	0	0	
13.091	23.31	1.86	0.04195	0	0.134979	0	0	
14.087	41.51	4.77	0.0771333	21.11	0.134979	0	0	
15.095	41.51	4.77	0.0771333	0	0.134979	0.0464614	0.11707	
16.081	43.98	5.69	0.0827833	3.3934	0.213766	0.317892	0.312811	
17.048	43.98	5.69	0.0827833	0	0.342984	0.544358	0.312811	
18.038	46.64	5.8	0.0874	2.77	0.383125	0.680025	0.443261	
19.097	46.64	5.8	0.0874	0	0.433214	0.725029	0.730933	
20.126	58.63	6.33	0.108267	12.52	0.475307	0.822316	1.02503	
21.24	58.63	6.33	0.108267	0	0.566008	1.01442	1.32446	
22.146	61.62	7.27	0.114817	3.92999	0.763669	1.31179	1.61627	
23.126	61.62	7.27	0.114817	0	1.06316	1.61048	1.9152	
24.139	61.74	8.2	0.116567	1.04895	1.36047	1.90806	2.21042	
25.219	61.74	8.2	0.116567	0	1.66545	2.20818	2.51221	
26.152	61.97	8.47	0.1174	0.5	1.96566	2.37294	2.80419	
27.15	62.35	8.64	0.118317	0.550003	2.26415	2.48997	3.10834	
28.121	64.3	8.39	0.12115	1.7	2.56304	2.77826	3.40983	
29.112	64.3	8.39	0.12115	0	2.86107	3.0773	3.6872	
30.063	64.6	8.88	0.122467	0.788432	3.15693	3.36975	3.82428	
31.156	64.67	8.89	0.1226	0.0801545	3.45548	3.6738	4.12191	
32.18	67.07	9.4	0.12745	2.91	3.74704	3.97045	4.42199	
33.17	67.12	9.36	0.127467	0.00999451	3.98418	4.26627	4.53801	
34.162	67.86	9.77	0.129383	1.15	4.11716	4.56535	4.80679	
35.131	67.54	10.54	0.130133	0.450005	4.19905	4.86251	4.97957	
36.218	68.1	10.74	0.1314	0.759235	4.2315	5.15945	5.07177	
37.139	68.25	10.77	0.1317	0.18018	4.23218	5.45916	5.12908	
38.095	69.72	10.88	0.134333	1.58	4.23218	5.75824	5.17965	
39.151	69.89	10.82	0.134517	0.110001	4.24869	6.05786	5.22392	
40.219	70.84	10.97	0.13635	1.0989	4.3525	6.35717	5.28061	
41.223	71.21	11.21	0.137367	0.610611	4.59446	6.65457	5.29223	
42.085	73.34	11.4	0.141233	2.32	4.89134	6.95419	5.33187	
43.142	73.71	11.72	0.142383	0.690002	5.18818	7.25094	5.46373	
