Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
3.263	94.1	5.63	0.265947	19946	0	0	0	
3.749	94.1	5.63	0.265947	0	0	0	0	
4.368	94.1	5.63	0.265947	0	0	0	0	
4.642	94.1	5.63	0.265947	0	0	0	0	
5.107	94.1	5.63	0.265947	0	0	0	0	
5.772	94.1	5.63	0.265947	0	0	0	0	
6.065	94.1	5.63	0.265947	0	0	0	0	
6.606	94.1	5.63	0.265947	0	0	0	0	
7.092	94.1	5.63	0.265947	0	0	0	0	
7.607	94.1	5.63	0.265947	0	0	0	0	
8.115	94.1	5.63	0.265947	0	0	0.0161047	0	
8.795	94.1	5.63	0.265947	0	0	0.106205	3.92897e-19	
9.091	117.01	6.38	0.32904	47.0378	0	0.250223	1.46693e-18	
9.606	133.95	6.92	0.375653	35.171	0.0483052	0.402358	0.0222579	
10.102	133.95	6.92	0.375653	0	0.143251	0.544506	0.0982435	
10.571	133.95	6.92	0.375653	0	0.299235	0.694481	0.239553	
11.172	139.94	8.82	0.396693	15.7171	0.449734	0.849303	0.393487	
11.638	162.37	10.14	0.460027	47.5952	0.597191	0.99515	0.538677	
12.211	162.37	10.14	0.460027	0	0.749332	1.14661	0.689816	
12.744	162.37	10.14	0.460027	0	0.89753	1.29404	0.838038	
13.214	162.95	10.32	0.462053	1.51396	1.04634	1.44231	0.989538	
13.651	170.82	10.75	0.484187	16.6666	1.19295	1.58775	1.13743	
14.223	170.82	10.75	0.484187	0	1.34065	1.73734	1.28532	
14.706	170.82	10.75	0.484187	0	1.48959	1.88585	1.43836	
15.188	170.82	10.75	0.484187	0	1.64099	2.03406	1.58401	
15.684	179.69	11.27	0.509227	18.78	1.79034	2.18464	1.73124	
16.383	179.69	11.27	0.509227	0	1.94182	2.33552	1.87841	
16.693	179.69	11.27	0.509227	0	2.09331	2.48761	2.03138	
17.257	179.69	11.27	0.509227	0	2.23731	2.63063	2.17832	
17.758	191.31	11.19	0.54	23.1262	2.39391	2.78243	2.32236	
18.171	191.31	11.19	0.54	0	2.54001	2.93603	2.46868	
18.769	191.31	11.19	0.54	0	2.69301	3.08602	2.62172	
19.341	191.31	11.19	0.54	0	2.84301	3.2363	2.77189	
19.683	200.68	11.97	0.567067	20.3407	2.99091	3.3842	2.92033	
20.264	200.68	11.97	0.567067	0	3.14091	3.5342	3.06629	
20.779	200.68	11.97	0.567067	0	3.29091	3.6833	3.22059	
21.22	200.68	11.97	0.567067	0	3.44331	3.83568	3.36891	
21.693	206.62	13.36	0.586613	14.66	3.59061	3.98327	3.51631	
22.231	206.62	13.36	0.586613	0	3.74012	4.13357	3.66917	
22.688	206.62	13.36	0.586613	0	3.89211	4.28387	3.81908	
23.276	206.62	13.36	0.586613	0	4.0421	4.43386	3.96663	
23.731	212.32	14.18	0.604	13.0662	4.18801	4.58476	4.11598	
24.185	212.32	14.18	0.604	0	4.33744	4.73357	4.26717	
24.699	212.32	14.18	0.604	0	4.48437	4.88056	4.41266	
25.221	212.32	14.18	0.604	0	4.63477	5.03175	4.56536	
25.683	223.25	14.89	0.63504	23.28	4.78369	5.18052	4.71416	
26.163	223.25	14.89	0.63504	0	4.79959	5.33407	4.72106	
26.689	223.25	14.89	0.63504	0	4.82868	5.48225	4.72106	
27.153	223.25	14.89	0.63504	0	4.9436	5.63042	4.72106	
27.667	228.95	15.36	0.651493	12.34	5.09151	5.78155	4.72106	
28.215	228.95	15.36	0.651493	0	5.24391	5.9338	4.72106	
28.838	228.95	15.36	0.651493	0	5.39149	6.07843	4.7641	
29.266	228.95	15.36	0.651493	0	5.54328	6.22825	4.83564	
29.747	228.93	15.38	0.651493	3.05787e-05	5.69478	6.37817	4.90127	
30.249	233.14	16.04	0.66448	9.60551	5.8435	6.52683	4.97691	
30.829	233.14	16.04	0.66448	0	5.99517	6.6789	5.03433	
31.209	233.14	16.04	0.66448	0	6.14352	6.82427	5.16385	
31.749	233.13	16.07	0.664533	0.0398492	6.29164	6.97669	5.3141	
32.181	240.9	17.53	0.689147	18.6089	6.44314	7.12698	5.46038	
32.679	240.9	17.53	0.689147	0	6.58833	7.27686	5.61113	
33.229	240.9	17.53	0.689147	0	6.73968	7.42669	5.75968	
33.843	240.9	17.53	0.689147	0	6.89202	7.5712	5.90327	
34.339	242.54	17.82	0.694293	3.84461	7.03989	7.72304	6.0544	
34.663	242.54	17.82	0.694293	0	7.18925	7.87086	6.20172	
35.278	242.54	17.82	0.694293	0	7.34186	8.02334	6.35273	
35.725	242.54	17.82	0.694293	0	7.48941	8.16756	6.50052	
36.196	244.19	17.78	0.698587	3.2136	7.63683	8.31717	6.65186	
36.776	244.19	17.78	0.698587	0	7.78786	8.46566	6.79927	
37.161	244.19	17.78	0.698587	0	7.93506	8.61182	6.94548	
37.744	244.19	17.78	0.698587	0	8.08861	8.76249	7.09626	
38.322	244.9	17.45	0.6996	0.76001	8.23704	8.91007	7.24556	
38.704	244.9	17.45	0.6996	0	8.38438	9.06005	7.39443	
39.246	244.9	17.45	0.6996	0	8.52442	9.20588	7.54221	
39.724	244.9	17.45	0.6996	0	8.6575	9.35653	7.69421	
40.18	248.37	17.38	0.708667	6.79993	8.80294	9.50651	7.84451	
40.687	249.09	17.67	0.71136	2.01599	8.90687	9.65711	7.99477	
41.148	249.09	17.67	0.71136	0	8.98952	9.80739	8.14057	
41.724	249.09	17.67	0.71136	0	9.06107	9.95498	8.29175	
42.38	248.79	17.97	0.71136	0	9.11691	10.1049	8.44117	
42.739	254.3	18.98	0.728747	13.04	9.16352	10.2539	8.58967	
43.196	254.3	18.98	0.728747	0	9.19998	10.4041	8.74057	
43.674	254.3	18.98	0.728747	0	9.23347	10.5555	8.89327	
44.205	254.18	19.1	0.728747	0	9.26728	10.7038	8.94174	
44.682	258.13	19.09	0.739253	7.87994	9.33305	10.8514	8.99681	
45.193	258.13	19.09	0.739253	0	9.4717	11.0009	9.12432	
45.867	258.13	19.09	0.739253	0	9.61715	11.1465	9.26895	
46.315	258.13	19.09	0.739253	0	9.76862	11.2966	9.41834	
46.677	258.04	19.18	0.739253	0	9.91872	11.4469	9.56897	
47.229	258.04	19.25	0.73944	0.140015	10.0693	11.5999	9.72077	
47.656	258.04	19.25	0.73944	0	10.2151	11.7487	9.86746	
48.279	257.9	19.39	0.73944	6.11575e-05	10.3669	11.8963	10.0177	
48.755	257.77	19.58	0.7396	0.120477	10.5151	12.0448	10.1662	
49.226	257.77	19.58	0.7396	0	10.6693	12.1925	10.315	
49.678	257.77	19.58	0.7396	0	10.8193	12.3365	10.4673	
50.167	257.77	19.58	0.7396	0	10.9681	12.4789	10.6171	
50.712	258.05	19.74	0.740773	0.879944	11.1151	12.5642	10.7638	
51.14	258.05	19.74	0.740773	0	11.2645	12.5642	10.9124	
51.7	258.05	19.74	0.740773	0	11.4145	12.5716	11.0617	
52.196	258.05	19.74	0.740773	0	11.5672	12.6459	11.2159	
52.71	261.01	20.64	0.751067	7.76663	11.7162	12.7853	11.3656	
53.149	261	20.65	0.751067	0	11.8653	12.9326	11.5128	
53.825	261	20.65	0.751067	0	12.0153	13.0843	11.6646	
54.234	261	20.65	0.751067	0	12.1605	13.2355	11.8131	
54.799	261.15	20.78	0.751813	0.559998	12.3174	13.3852	11.9643	
55.192	264.07	20.39	0.75856	5.0499	12.4089	13.5328	12.1129	
55.899	264.07	20.39	0.75856	0	12.4089	13.6822	12.2612	
56.179	264.07	20.39	0.75856	0	12.4089	13.8367	12.4089	
56.697	266.11	20.49	0.764267	4.27997	12.4197	13.985	12.5607	
57.13	266.11	20.49	0.764267	0	12.4564	14.1362	12.7091	
57.713	266.11	20.49	0.764267	0	12.5043	14.2841	12.8594	
58.274	266.11	20.49	0.764267	0	12.5538	14.4327	12.9969	
58.716	266.11	20.49	0.764267	0	12.6762	14.5851	13.0599	
59.187	268.01	20.51	0.769387	3.84003	12.8231	14.7345	13.0659	
59.699	268.01	20.51	0.769387	0	12.9709	14.8841	13.0659	
60.258	268.01	20.51	0.769387	0	13.1168	15.0299	13.0659	
60.831	268.01	20.51	0.769387	0	13.2675	15.1844	13.0659	
61.237	268.56	20.52	0.77088	1.12	13.4174	15.3177	13.0659	
61.69	268.56	20.52	0.77088	0	13.5684	15.4248	13.0837	
62.146	268.56	20.52	0.77088	0	13.7166	15.5069	13.1035	
62.638	268.56	20.52	0.77088	0	13.8633	15.5663	13.1717	
63.131	268.88	20.42	0.771467	0.440002	14.0174	15.6123	13.2755	
63.752	268.88	20.42	0.771467	0	14.1638	15.6427	13.4244	
64.177	268.88	20.42	0.771467	0	14.3159	15.6615	13.5733	
64.655	268.88	20.42	0.771467	0	14.4671	15.6865	13.7221	
65.221	270.27	20.66	0.775813	3.26001	14.6162	15.7133	13.8716	
65.744	270.27	20.66	0.775813	0	14.7677	15.7391	14.0221	
66.278	270.27	20.66	0.775813	0	14.9129	15.7661	14.1672	
66.689	270.27	20.66	0.775813	0	15.0665	15.7928	14.3202	
67.25	270.22	20.71	0.775813	0	15.218	15.8198	14.4684	
67.658	270.22	20.71	0.775813	0	15.3653	15.8444	14.6162	
68.143	270.22	20.71	0.775813	0	15.5169	15.8708	14.7668	
68.729	270.22	20.71	0.775813	0	15.6625	15.8954	14.9122	
69.168	270.78	20.73	0.77736	1.16003	15.8141	15.92	15.0631	
69.754	270.76	20.75	0.77736	-6.10352e-05	15.9646	15.92	15.216	
70.27	270.76	20.75	0.77736	0	16.1135	15.965	15.3616	
70.843	270.76	20.75	0.77736	0	16.2653	16.0881	15.5113	
71.241	270.87	20.75	0.777653	0.222254	16.4103	16.2322	15.6586	
71.652	270.81	20.81	0.777653	0	16.5617	16.3844	15.8087	
72.16	270.81	20.81	0.777653	0	16.7106	16.5326	15.9595	
72.726	270.81	20.81	0.777653	0	16.8582	16.6835	16.1074	
73.132	271.05	20.81	0.778293	0.47998	17.0076	16.8326	16.2571	
73.847	271.01	20.85	0.778293	0	17.1557	16.9844	16.4088	
74.341	271.01	20.85	0.778293	0	17.3042	17.1313	16.5557	
74.666	271.01	20.85	0.778293	0	17.4545	17.2834	16.7031	
75.145	271.07	20.79	0.778293	0	17.6048	17.4307	16.8543	
75.587	271.31	20.81	0.778987	0.52002	17.7578	17.5826	17.0064	
76.139	271.31	20.81	0.778987	0	17.9054	17.7301	17.154	
76.775	271.31	20.81	0.778987	0	18.0554	17.8798	17.304	
77.144	271.32	20.8	0.778987	-6.11575e-05	18.2066	18.031	17.4564	
77.696	271.64	20.86	0.78	0.746571	18.3497	18.1786	17.6043	
78.259	271.64	20.86	0.78	0	18.5072	18.3301	17.7537	
78.697	271.64	20.86	0.78	0	18.6563	18.4806	17.9067	
79.29	271.64	20.86	0.78	0	18.8045	18.6273	18.054	
79.657	272	20.9	0.781067	0.795277	18.9572	18.78	18.2067	
80.112	272	20.9	0.781067	0	19.1066	18.9294	18.3561	
80.678	272	20.9	0.781067	0	19.2548	19.0773	18.5043	
81.283	272	20.9	0.781067	0	19.403	19.2258	18.6525	
81.742	272.16	20.9	0.781493	0.32324	19.5557	19.3787	18.8064	
82.17	272.74	20.94	0.783147	1.23999	19.7049	19.5281	18.9543	
82.787	272.74	20.94	0.783147	0	19.8542	19.6758	19.1043	
83.167	272.74	20.94	0.783147	0	20.0039	19.8267	19.2461	
83.712	276.59	21.2	0.794107	8.22003	20.1551	19.9776	19.3945	
84.2	276.59	21.2	0.794107	0	20.3033	20.1252	19.5413	
84.728	276.59	21.2	0.794107	0	20.4432	20.2719	19.6876	
85.295	276.59	21.2	0.794107	0	20.5362	20.4261	19.8423	
85.704	276.98	21.24	0.795253	0.859924	20.5981	20.5731	19.986	
86.203	285.82	22	0.820853	19.2	20.6406	20.7216	20.1313	
86.706	285.82	22	0.820853	0	20.6681	20.8729	20.282	
87.192	285.82	22	0.820853	0	20.6873	21.0227	20.4305	
87.778	286.08	22.04	0.821653	0.596458	20.7167	21.1702	20.5747	
88.169	294.92	22.89	0.847493	19.5363	20.7517	21.3198	20.7262	
88.758	294.92	22.89	0.847493	0	20.779	21.4718	20.8754	
89.308	294.92	22.89	0.847493	0	20.807	21.6212	21.0261	
89.734	295.1	22.95	0.848133	0.47998	20.8321	21.7715	21.1743	
90.136	300.45	24.31	0.866027	13.42	20.8584	21.9187	21.3203	
90.671	300.45	24.31	0.866027	0	20.883	22.068	21.4689	
91.181	300.45	24.31	0.866027	0	20.9388	22.2169	21.6181	
91.623	300.96	24.7	0.868427	1.80005	21.064	22.3664	21.7667	
92.171	300.65	25.18	0.86888	0.339966	21.2121	22.5152	21.9176	
92.828	300.65	25.18	0.86888	0	21.3636	22.6668	22.0697	
93.199	300.65	25.18	0.86888	0	21.5098	22.8153	22.2185	
93.824	304.26	25.23	0.87864	7.32001	21.6546	22.9644	22.3672	
94.398	304.24	25.3	0.878773	0.0999756	21.807	23.112	22.5154	
94.754	304.24	25.3	0.878773	0	21.9577	23.2656	22.6672	
95.292	304.24	25.3	0.878773	0	22.1079	23.4148	22.8142	
95.781	304.6	25.44	0.880107	1.00006	22.2558	23.563	22.966	
96.204	304.6	25.45	0.880133	0.0199001	22.4038	23.7111	23.1106	
96.719	304.6	25.45	0.880133	0	22.553	23.861	23.2057	
97.261	304.6	25.45	0.880133	0	22.706	24.0116	23.2401	
97.779	304.6	25.45	0.880133	0	22.8548	24.161	23.2541	
98.241	304.5	25.55	0.880133	-6.11575e-05	23.0029	24.3036	23.2722	
98.705	304.5	25.58	0.880213	0.0597585	23.1544	24.4536	23.2774	
99.234	304.5	25.58	0.880213	0	23.3026	24.6093	23.3144	
99.681	304.5	25.58	0.880213	0	23.4523	24.7566	23.3882	
100.189	304.45	25.64	0.88024	0.0200195	23.6034	24.9062	23.5078	
100.666	304.6	25.78	0.881013	0.580017	23.7505	25.0557	23.6548	
101.247	304.6	25.78	0.881013	0	23.8959	25.2033	23.8042	
101.633	304.6	25.78	0.881013	0	24.0441	25.3525	23.9509	
102.173	304.62	25.79	0.881093	0.0598778	24.195	25.5004	24.1027	
102.758	304.62	25.79	0.881093	0	24.3431	25.6491	24.2517	
103.185	304.62	25.79	0.881093	0	24.4946	25.8006	24.3999	
103.932	304.62	25.79	0.881093	0	24.6386	25.9455	24.5448	
104.239	304.62	25.79	0.881093	0	24.7793	26.0988	24.6946	
104.805	305.81	25.88	0.884507	2.58586	24.8603	26.2467	24.8414	
105.193	305.81	25.88	0.884507	0	24.9122	26.397	24.9936	
105.885	305.81	25.88	0.884507	0	24.9545	26.5467	25.1412	
106.25	305.81	25.88	0.884507	0	24.9893	26.6987	25.29	
106.941	306.91	25.93	0.887573	2.25489	25.0188	26.8459	25.4377	
107.185	306.91	25.93	0.887573	0	25.0372	26.9986	25.5898	
107.595	306.91	25.93	0.887573	0	25.0372	27.136	25.7272	
108.157	306.91	25.93	0.887573	0	25.0517	27.2954	25.8877	
108.657	307.27	25.91	0.88848	0.679993	25.0669	27.4431	26.0361	
109.308	307.27	25.91	0.88848	0	25.1269	27.5889	26.1852	
109.629	307.27	25.91	0.88848	0	25.2571	27.7416	26.3361	
110.156	307.28	25.9	0.88848	0	25.4052	27.8922	26.4836	
110.741	307.32	25.86	0.88848	0	25.556	28.0434	26.6333	
111.246	307.32	25.86	0.88848	0	25.7038	28.1922	26.7842	
111.694	307.32	25.86	0.88848	0	25.8525	28.3401	26.9342	
112.169	307.32	25.86	0.88848	0	26.0006	28.4894	27.0821	
112.767	307.33	25.85	0.88848	0	26.1501	28.6391	27.2339	
113.223	307.36	25.82	0.88848	0	26.3015	28.7879	27.3827	
113.707	307.36	25.82	0.88848	0	26.4491	28.9382	27.533	
114.2	307.16	26.02	0.88848	0	26.5998	29.0891	27.6839	
114.715	307.17	26.01	0.88848	0	26.7485	29.2388	27.8318	
115.152	307.17	26.01	0.88848	0	26.9001	29.3906	27.9836	
115.802	307.17	26.01	0.88848	0	27.0435	29.5388	28.1289	
116.194	307.17	26.01	0.88848	0	27.1966	29.6889	28.2803	
116.95	307.12	26.22	0.888907	0.320007	27.3407	29.8371	28.4264	
117.217	307.12	26.22	0.888907	0	27.4988	29.9931	28.5854	
117.767	307.12	26.22	0.888907	0	27.6427	30.135	28.7279	
118.243	307.12	26.22	0.888907	0	27.7954	30.2888	28.8813	
118.679	307.12	26.22	0.888907	0	27.9409	30.4355	29.0279	
119.198	307.43	26.27	0.889867	0.719971	28.0873	30.5834	29.1794	
119.616	307.43	26.27	0.889867	0	28.2385	30.7346	29.327	
120.142	307.42	26.28	0.889867	0	28.3909	30.8873	29.48	
120.659	307.42	26.28	0.889867	0	28.5371	31.0364	29.6288	
121.145	307.9	26.4	0.891467	1.20001	28.688	31.1816	29.7797	
121.653	307.9	26.4	0.891467	0	28.8344	31.3355	29.9285	
122.28	307.9	26.4	0.891467	0	28.984	31.4836	30.078	
122.651	307.9	26.4	0.891467	0	29.134	31.633	30.2289	
123.177	311.86	26.88	0.903307	8.95162	29.2817	31.78	30.3759	
123.706	311.86	26.88	0.903307	0	29.4315	31.9306	30.5267	
124.228	311.86	26.88	0.903307	0	29.5824	32.0795	30.6751	
124.599	311.87	26.88	0.903333	0.0200195	29.7325	32.2302	30.8225	
125.136	317.26	27.41	0.91912	11.84	29.8796	32.3777	30.9694	
125.735	317.26	27.41	0.91912	0	30.0301	32.5259	31.1201	
126.255	317.26	27.41	0.91912	0	30.1786	32.6751	31.2671	
126.673	317.26	27.41	0.91912	0	30.3302	32.8206	31.4158	
127.292	318.73	27.67	0.923733	3.43939	30.4781	32.8401	31.5724	
127.69	318.73	27.67	0.923733	0	30.6254	32.8401	31.7146	
128.243	318.73	27.67	0.923733	0	30.7799	32.8401	31.8687	
128.712	318.74	27.66	0.923733	0	30.9281	32.8507	32.0163	
129.129	318.74	27.66	0.923733	0	31.0799	32.8668	32.1654	
129.743	318.7	27.74	0.92384	0.0804387	31.2263	32.883	32.3136	
130.29	318.7	27.74	0.92384	0	31.3801	32.9317	32.4651	
130.685	318.7	27.74	0.92384	0	31.5271	33.0489	32.615	
131.281	318.79	27.71	0.924	0.119995	31.6774	33.1982	32.7644	
131.794	318.79	27.71	0.924	0	31.8285	33.3474	32.915	
132.155	318.79	27.71	0.924	0	31.9777	33.4961	33.0633	
132.717	318.79	27.71	0.924	0	32.1274	33.6464	33.2086	
133.204	318.79	27.71	0.924	0	32.2747	33.7915	33.3579	
133.737	319.33	28.22	0.9268	2.10004	32.425	33.9433	33.4995	
134.24	319.33	28.22	0.9268	0	32.5759	34.0909	33.6478	
134.656	319.34	28.21	0.9268	0	32.7274	34.2383	33.7944	
135.165	319.34	28.21	0.9268	0	32.8765	34.3886	33.9432	
135.771	320.09	28.52	0.929627	2.11155	33.0262	34.5349	34.0927	
Free:	329.92	occupied:	45.08	total:	375
