Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
1.817	93.61	5.57	0.26448	49590	0	0	0	
2.866	94.07	5.58	0.265733	0.470472	0	0	0	
3.796	94.27	5.65	0.266453	0.270267	0	0	0	
4.911	94.27	5.65	0.266453	0	0	0	0	
5.831	94.27	5.65	0.266453	0	0	0	0	
6.793	94.27	5.65	0.266453	0	0	0	0	
7.841	94.27	5.65	0.266453	0	0	0	0	
8.78	94.27	5.65	0.266453	0	0	0	0	
9.759	94.27	5.65	0.266453	0	0	0	0.00171788	
10.74	94.27	5.65	0.266453	0	0	0	0.0946146	
11.795	117.43	7.09	0.332053	24.6	6.13945e-20	0	0.259662	
12.741	117.43	7.09	0.332053	0	7.56786e-19	0.0166574	0.537261	
13.959	152.89	9.6	0.433307	38.0461	1.27022e-18	0.105294	0.827745	
14.843	152.89	9.6	0.433307	0	0.0370033	0.336656	0.940797	
15.87	153.43	10.23	0.436427	1.17115	0.0989639	0.605516	0.986504	
16.809	153.43	10.23	0.436427	0	0.230891	0.763193	1.22683	
17.84	156.06	11.45	0.446693	3.84616	0.332631	0.891211	1.52538	
18.896	156.06	11.45	0.446693	0	0.585974	0.957621	1.82157	
19.982	164.18	11.81	0.469307	8.47152	0.887777	1.00851	2.1211	
20.845	164.18	11.81	0.469307	0	1.18453	1.06474	2.26255	
21.859	168.94	12.09	0.482747	5.04505	1.47988	1.12676	2.4895	
22.898	168.94	12.09	0.482747	0	1.77604	1.20062	2.78908	
24.003	169.67	12.02	0.484507	0.660004	2.0736	1.45766	3.09131	
24.843	170.73	12.06	0.48744	1.09889	2.37254	1.75403	3.38617	
25.85	172.89	12.32	0.493893	2.42001	2.61186	2.05589	3.68956	
26.834	174.15	12.4	0.497467	1.34132	2.80753	2.35434	3.98743	
27.801	175.32	12.73	0.501467	1.5	3.10849	2.65614	4.28595	
28.773	176.6	12.76	0.50496	1.31	3.40717	2.95436	4.58523	
29.908	177.65	12.91	0.50816	1.20001	3.59259	3.25247	4.88157	
30.838	179.38	13.09	0.513253	1.91	3.59259	3.55424	5.18115	
31.894	180.73	13.13	0.51696	1.39	3.66091	3.84786	5.47633	
32.85	183.11	13.26	0.523653	2.50749	3.93103	4.14957	5.78052	
33.844	190.2	14.07	0.54472	7.90792	4.2242	4.44759	6.07692	
34.827	192.99	14.32	0.552827	3.04001	4.52516	4.74968	6.37711	
35.843	193.93	14.53	0.555893	1.14883	4.82574	5.04877	6.67281	
37.005	197.93	14.81	0.567307	4.27146	5.12121	5.3444	6.97191	
37.926	198.87	14.81	0.569813	0.942831	5.42264	5.57179	7.26791	
38.902	205.26	15.45	0.58856	7.03	5.71896	5.57937	7.54059	
39.778	205.26	15.45	0.58856	0	6.0208	5.73559	7.65145	
40.858	217.35	16.14	0.62264	12.7672	6.31944	6.02482	7.70459	
41.808	217.35	16.14	0.62264	0	6.61208	6.31696	7.75924	
42.981	220.85	16.29	0.632373	3.64635	6.91328	6.61551	7.81121	
43.815	220.85	16.29	0.632373	0	7.21056	6.91653	7.8637	
44.829	225.17	16.5	0.644453	4.53	7.50801	7.21334	7.91459	
45.83	225.17	16.5	0.644453	0	7.79541	7.51633	7.96563	
46.895	233.82	17.23	0.669467	9.38	7.873	7.81453	8.08296	
47.783	233.82	17.23	0.669467	0	7.91346	8.1123	8.36144	
48.935	242.82	17.95	0.695387	9.71029	8.13554	8.41131	8.48225	
