Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
1.945	133.78	3.1	0.365013	136880	0	0	0	
3.205	133.78	3.1	0.365013	0	0	0	0	
4.084	133.78	3.1	0.365013	0	0	0	0	
5.05	133.78	3.1	0.365013	0	0	0	0	
6.146	133.78	3.1	0.365013	0	0	0	0	
7.191	133.78	3.1	0.365013	0	0	0	0	
7.988	133.77	3.11	0.365013	-1.52435e-05	0	0	0	
8.94	133.78	3.1	0.365013	1.52741e-05	0	0	0.00300614	
10.043	133.78	3.1	0.365013	0	0.0908977	0.0153701	0.0516053	
11.051	154.38	6.09	0.42792	23.5429	0.369633	0.269492	0.102625	
12.056	169.19	8.9	0.474907	17.6553	0.666618	0.570658	0.220448	
13.074	169.19	8.9	0.474907	0	0.799548	0.864331	0.497929	
14.339	185.05	10.48	0.521413	17.4226	0.902244	1.14122	0.797425	
15.141	185.05	10.48	0.521413	0	1.1674	1.42373	1.0938	
16.032	193.46	9.51	0.541253	7.43999	1.45421	1.72467	1.39514	
17.129	193.46	9.51	0.541253	0	1.73365	2.02303	1.69353	
18.03	206.29	9.92	0.57656	13.2665	2.03498	2.31791	1.99522	
19.072	206.29	9.92	0.57656	0	2.33505	2.62063	2.29122	
20.049	209.7	10.32	0.58672	3.81383	2.47785	2.89978	2.59264	
20.969	209.7	10.32	0.58672	0	2.47785	3.09634	2.87231	
22.192	214.89	11.18	0.602853	6.05	2.47785	3.38791	2.8962	
23.167	214.89	11.18	0.602853	0	2.4883	3.69147	3.15602	
24.2	232.37	11.91	0.651413	18.21	2.4883	3.98988	3.45593	
25.273	232.37	11.91	0.651413	0	2.4883	4.2893	3.7544	
26.006	262.82	12.9	0.735253	31.44	2.55245	4.58635	4.05783	
27.248	262.82	12.9	0.735253	0	2.71498	4.88187	4.35371	
28.324	262.63	13.5	0.736347	0.408777	3.01544	5.18122	4.6539	
29.149	262.68	13.47	0.7364	0.0200798	3.31155	5.4794	4.9536	
30.067	262.68	13.8	0.73728	0.329987	3.60966	5.77909	5.2515	
31.162	262.55	13.93	0.73728	0	3.90863	6.08234	5.54365	
32.159	266.18	14.04	0.747253	3.74002	4.20672	6.38234	5.83731	
33.153	266.05	14.04	0.746907	-0.130005	4.48799	6.67904	6.13549	
34.15	265.87	14.22	0.746907	0	4.56245	6.97843	6.43511	
35.178	265.74	14.35	0.746907	0	4.5712	7.28037	6.73412	
36.082	265.6	14.49	0.746907	-3.07637e-05	4.69768	7.57763	7.03248	
37.132	265.89	14.51	0.747733	0.310028	4.98424	7.87843	7.33367	
38.261	265.76	14.64	0.747733	0	5.28246	8.16843	7.63035	
39.093	265.7	14.7	0.747733	0	5.58212	8.46661	7.93242	
40.129	265.62	14.82	0.74784	0.0400085	5.88334	8.73797	8.23422	
40.988	265.62	14.82	0.74784	0	6.18047	8.83815	8.52936	
42.127	265.56	14.88	0.74784	0	6.47811	8.87359	8.82751	
42.974	265.56	14.88	0.74784	0	6.77471	9.14506	9.12747	
44.047	265.52	14.92	0.74784	0	7.07483	9.44386	9.42766	
45.148	266.99	15	0.751973	1.54999	7.37141	9.74262	9.60035	
46.111	266.99	15	0.751973	0	7.66881	10.042	9.8442	
47.242	271.29	15.59	0.765013	4.88998	7.95878	10.3432	10.1457	
48.067	271.29	15.59	0.765013	0	8.25459	10.6429	10.4465	
49.05	283.34	16.24	0.79888	12.7	8.55579	10.9429	10.7474	
50.053	283.34	16.24	0.79888	0	8.85571	11.245	11.0456	
50.975	316.89	17.22	0.89096	34.53	9.153	11.5426	11.3465	
52.083	316.89	17.22	0.89096	0	9.44829	11.8348	11.6462	
53.166	325.7	17.64	0.915573	9.23001	9.74608	12.1227	11.9465	
