Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
0.016	23.31	1.86	0.04195	3146.25	0	0	0	
0.615	23.31	1.86	0.04195	-0	0	0	0	
1.108	23.31	1.86	0.04195	0	0	0	0	
1.601	23.31	1.86	0.04195	0	0	0	0	
2.117	23.31	1.86	0.04195	0	0	0	0	
2.599	23.31	1.86	0.04195	0	0	0	0	
3.077	23.31	1.86	0.04195	0	0	0	0	
3.66	23.31	1.86	0.04195	0	0.0230721	0	0	
4.136	23.31	1.86	0.04195	0	0.111208	0	0	
4.669	23.31	1.86	0.04195	0	0.228239	4.74764e-19	0	
5.118	42.73	4.27	0.0783333	43.7475	0.355301	0.0575454	0	
5.677	42.73	4.27	0.0783333	0	0.489873	0.180995	0.00847428	
6.183	42.73	4.27	0.0783333	0	0.588156	0.329972	0.0666174	
6.704	42.73	4.27	0.0783333	0	0.640527	0.478873	0.190336	
7.294	58.78	6.23	0.10835	35.9481	0.650377	0.629043	0.33684	
7.762	59.11	6.53	0.1094	1.26253	0.650377	0.774277	0.475466	
8.315	59.11	6.53	0.1094	0	0.650377	0.927844	0.609247	
8.697	59.11	6.53	0.1094	0	0.650377	1.07346	0.747566	
9.2	59.76	6.74	0.110833	1.72	0.663006	1.22352	0.897991	
9.792	61.26	7.07	0.113883	3.6527	0.677498	1.37325	1.04511	
10.248	61.26	7.07	0.113883	0	0.694355	1.52594	1.19473	
10.74	61.26	7.07	0.113883	0	0.720514	1.67203	1.34233	
11.224	63.29	7.27	0.1176	4.46893	0.732007	1.82472	1.49468	
11.823	63.04	7.08	0.116867	-0.880005	0.732007	1.97351	1.6443	
12.302	63.04	7.08	0.116867	0	0.73631	2.12269	1.79281	
12.801	63.04	7.08	0.116867	0	0.75403	2.27238	1.94441	
13.222	63.04	7.08	0.116867	0	0.803133	2.42118	2.07536	
13.79	63.91	8.12	0.12005	3.82001	0.847819	2.57268	2.07536	
14.224	63.91	8.12	0.12005	0	0.864014	2.72154	2.09164	
14.734	63.91	8.12	0.12005	0	0.870348	2.87094	2.11916	
15.212	63.91	8.12	0.12005	0	0.870348	3.02424	2.14096	
15.748	65.81	9.09	0.124833	5.74001	0.880088	3.16037	2.16238	
16.232	65.81	9.09	0.124833	0	0.916233	3.30648	2.1848	
16.777	65.81	9.09	0.124833	0	0.95545	3.45228	2.19265	
17.353	65.81	9.09	0.124833	0	1.04578	3.60154	2.2049	
17.688	67.17	9.52	0.127817	3.55863	1.19243	3.75811	2.21275	
18.268	67.17	9.52	0.127817	0	1.3441	3.90044	2.21275	
18.68	67.17	9.52	0.127817	0	1.49209	4.05204	2.21275	
19.253	67.17	9.52	0.127817	0	1.64153	4.19741	2.243	
19.84	67.45	9.71	0.1286	0.938126	1.78818	4.34924	2.32852	
20.289	67.45	9.71	0.1286	0	1.93942	4.4958	2.46402	
20.721	67.45	9.71	0.1286	0	2.0923	4.64649	2.6149	
21.201	67.45	9.71	0.1286	0	2.24196	4.79678	2.76347	
21.766	67.98	9.94	0.129867	1.52	2.38926	4.94227	2.90791	
22.218	67.98	9.94	0.129867	0	2.54045	5.09604	3.05809	
22.794	67.98	9.94	0.129867	0	2.68955	5.24099	3.20642	
23.472	67.98	9.94	0.129867	0	2.83843	5.39272	3.35692	
23.815	68.02	9.9	0.129867	0	2.98872	5.54174	3.50385	
24.299	69.6	10	0.132667	3.36	3.13872	5.55421	3.65751	
24.831	69.6	10	0.132667	0	3.28662	5.56036	3.80293	
25.249	69.6	10	0.132667	0	3.43842	5.57494	3.95258	
25.79	69.57	10.1	0.132783	0.139999	3.58872	5.59978	4.10438	
26.261	70.01	10.1	0.133517	0.874741	3.73901	5.63003	4.25231	
26.824	70.01	10.1	0.133517	0	3.88846	5.72801	4.40377	
27.372	70.01	10.1	0.133517	0	4.03692	5.87209	4.55347	
27.89	70.01	10.1	0.133517	0	4.18691	6.01733	4.70437	
28.312	74.14	10.53	0.141117	9.12001	4.33775	6.16512	4.85256	
28.691	74.14	10.53	0.141117	0	4.48714	6.30885	5.00136	
29.289	74.14	10.53	0.141117	0	4.63502	6.45871	5.15196	
29.767	74.14	10.53	0.141117	0	4.78433	6.61077	5.30375	
30.238	74.91	11.03	0.143233	2.53999	4.93462	6.75982	5.45187	
30.83	74.91	11.03	0.143233	0	5.082	6.90825	5.5931	
31.22	74.91	11.03	0.143233	0	5.2338	7.0599	5.74023	
31.751	75.03	11.24	0.143783	0.660004	5.265	7.20898	5.89112	
32.201	75.52	11.48	0.145	1.46001	5.26999	7.34874	6.03924	
32.788	75.52	11.48	0.145	0	5.29617	7.41933	6.18774	
33.246	75.52	11.48	0.145	0	5.32236	7.4208	6.33248	
33.799	75.52	11.48	0.145	0	5.33829	7.4208	6.48435	
34.371	75.08	12.06	0.145233	0.279984	5.36326	7.43796	6.55364	
34.728	75.08	12.06	0.145233	0	5.39909	7.45821	6.55364	
35.172	75.08	12.06	0.145233	0	5.41834	7.52	6.55364	
35.823	75.08	12.06	0.145233	0	5.43462	7.64083	6.55364	
36.223	75.04	12.1	0.145233	1.52283e-05	5.46791	7.77028	6.55364	
36.857	75.39	12.17	0.145933	0.84168	5.57299	7.77923	6.55364	
37.252	75.39	12.17	0.145933	0	5.71888	7.78013	6.55364	
37.83	75.39	12.17	0.145933	0	5.86413	7.80174	6.55364	
38.22	75.37	12.2	0.14595	0.0200043	6.01211	7.87752	6.55364	
38.861	76.73	12.46	0.14865	3.22708	6.16179	8.01433	6.55364	
39.206	76.73	12.46	0.14865	0	6.31179	8.16306	6.55364	
39.802	76.73	12.46	0.14865	0	6.46029	8.31128	6.56712	
40.272	76.76	12.5	0.148767	0.139999	6.61111	8.46306	6.60126	
40.758	77.02	12.65	0.14945	0.820007	6.75868	8.61213	6.69032	
41.313	77.02	12.65	0.14945	0	6.90592	8.75943	6.83455	
41.761	77.02	12.65	0.14945	0	7.04183	8.90779	6.98445	
42.294	77.01	12.66	0.14945	0	7.18959	9.05944	7.13265	
42.777	78.22	12.93	0.151917	2.96001	7.34004	9.20834	7.28233	
43.211	78.22	12.93	0.151917	0	7.41633	9.35998	7.43408	
43.81	78.22	12.93	0.151917	0	7.42143	9.50817	7.58389	
44.336	78.22	12.93	0.151917	0	7.42143	9.65897	7.73077	
44.77	80.26	13.14	0.155667	4.49998	7.42143	9.80431	7.87854	
45.24	80.26	13.14	0.155667	0	7.47769	9.95039	8.02764	
45.618	80.26	13.14	0.155667	0	7.60964	10.1	8.17985	
46.231	80.25	13.15	0.155667	1.52588e-05	7.75693	10.2538	8.32092	
46.691	80.09	13.31	0.155667	0	7.90743	10.4036	8.47238	
47.318	80.09	13.31	0.155667	0	8.05734	10.5519	8.62388	
47.74	80.09	13.31	0.155667	0	8.20371	10.6996	8.76939	
48.241	80.09	13.31	0.155667	0	8.35637	10.8212	8.92233	
48.764	80.01	13.39	0.155667	-1.52588e-05	8.50243	10.856	9.07193	
49.438	80.01	13.39	0.155667	0	8.65409	10.8617	9.2199	
49.781	80.01	13.39	0.155667	0	8.80389	10.8836	9.36996	
50.311	80.01	13.39	0.155667	0	8.95364	10.8904	9.52039	
50.882	80.01	13.39	0.155667	0	9.09482	10.9615	9.66023	
51.217	80	13.4	0.155667	1.52588e-05	9.16182	11.1065	9.81659	
51.71	80	13.4	0.155667	0	9.16182	11.2547	9.96508	
52.289	80	13.4	0.155667	0	9.16182	11.4031	10.1142	
52.716	80	13.4	0.155667	0	9.16182	11.5538	10.2649	
53.223	80	13.4	0.155667	0	9.22664	11.7035	10.4141	
53.833	80	13.4	0.155667	0	9.36743	11.8519	10.5636	
54.323	80	13.4	0.155667	0	9.51637	12.002	10.7121	
54.793	80	13.4	0.155667	0	9.66159	12.1484	10.8284	
55.281	79.97	13.43	0.155667	0	9.81277	12.2969	10.9575	
55.765	79.97	13.43	0.155667	0	9.95895	12.4478	11.1022	
56.219	79.97	13.43	0.155667	0	10.1078	12.5987	11.2474	
56.696	79.92	13.5	0.1557	0.0399933	10.2605	12.7502	11.4007	
57.301	79.92	13.5	0.1557	0	10.4091	12.8995	11.5507	
57.858	79.92	13.5	0.1557	0	10.559	13.0477	11.701	
58.204	79.92	13.5	0.1557	0	10.7111	13.1979	11.8513	
58.676	79.93	13.49	0.1557	0	10.8574	13.3494	12.0011	
59.254	79.93	13.49	0.1557	0	11.0088	13.4988	12.1504	
59.819	79.93	13.49	0.1557	0	11.1564	13.6439	12.2995	
60.215	79.93	13.49	0.1557	0	11.3049	13.7938	12.4478	
60.739	81.9	13.63	0.159217	4.22002	11.4537	13.9432	12.5983	
61.236	82.03	13.63	0.159433	0.259979	11.6034	14.0921	12.7472	
61.754	82.03	13.63	0.159433	0	11.7524	14.2377	12.8938	
62.235	82.03	13.63	0.159433	0	11.9042	14.3893	13.045	
62.874	82.03	13.63	0.159433	0	11.9974	14.5387	13.1469	
63.21	117.68	15.09	0.221283	74.0719	11.9974	14.6876	13.1708	
63.826	117.66	15.11	0.221283	3.05787e-05	11.9974	14.8358	13.1793	
64.328	117.66	15.11	0.221283	0	11.9974	14.9884	13.1847	
64.707	117.66	15.11	0.221283	0	12.0086	15.1368	13.2001	
65.21	118.17	15.19	0.222267	1.1847	12.0646	15.2881	13.2074	
65.722	118.17	15.19	0.222267	0	12.1751	15.4351	13.2372	
66.252	118.17	15.19	0.222267	0	12.3228	15.5843	13.3101	
66.796	118.17	15.19	0.222267	0	12.4735	15.7307	13.4455	
67.271	118.33	15.35	0.2228	0.640015	12.6231	15.8833	13.5942	
67.672	118.33	15.35	0.2228	0	12.6504	16.0289	13.7404	
68.186	118.33	15.35	0.2228	0	12.7113	16.1861	13.8841	
68.712	118.33	15.35	0.2228	0	12.8429	16.3295	13.991	
69.319	118.51	15.41	0.2232	0.480011	12.993	16.4795	14.0361	
69.744	118.42	15.5	0.2232	0	13.1408	16.6319	14.0361	
70.374	118.42	15.5	0.2232	0	13.2894	16.7783	14.0583	
70.721	118.42	15.5	0.2232	0	13.4391	16.9297	14.0833	
71.387	118.43	15.49	0.2232	0	13.591	17.0827	14.0956	
71.699	129.26	15.86	0.241867	22.5806	13.7409	17.232	14.1061	
72.248	129.26	15.86	0.241867	0	13.8891	17.381	14.1525	
72.764	129.26	15.86	0.241867	0	14.0379	17.5288	14.2078	
73.269	129.26	15.86	0.241867	0	14.1888	17.6796	14.3049	
73.672	129.53	16.06	0.24265	0.940002	14.3388	17.8309	14.4521	
74.255	129.53	16.06	0.24265	0	14.4876	17.9789	14.6001	
74.778	129.53	16.06	0.24265	0	14.637	18.1267	14.7499	
75.436	129.53	16.06	0.24265	0	14.7835	18.2721	14.8968	
75.801	129.32	16.27	0.24265	0	14.9327	18.4251	15.0448	
76.269	129.32	16.27	0.24265	0	15.084	18.5712	15.1957	
76.689	129.32	16.27	0.24265	0	15.2357	18.7236	15.3447	
77.369	129.32	16.27	0.24265	0	15.3823	18.8697	15.4872	
77.687	129.26	16.44	0.242833	0.219562	15.531	19.0173	15.6337	
Free:	461.72	occupied:	138.28	total:	600
