Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
2	93.13	5.57	0.2632	49350	0	0	0	
4.039	93.8	5.64	0.265173	0.370369	0.0130268	0	0	
5.94	116.61	6.18	0.32744	11.675	0.535948	0.0442156	0	
8.044	132.63	6.63	0.37136	8.22267	1.12144	0.131214	0.234706	
10.078	154.11	8.29	0.433067	11.5816	1.72271	0.69905	0.835856	
12.242	161.6	8.94	0.454773	4.07203	2.31956	1.12055	1.43606	
14.087	169.72	9.8	0.47872	4.49001	2.81771	1.72011	2.03177	
16.036	177.33	9.99	0.49952	3.9	3.02848	2.31945	2.62313	
18.074	186.1	10.44	0.524107	4.60999	3.61835	2.91605	3.17791	
20.084	190.71	11.48	0.539173	2.825	4.21336	3.5143	3.77547	
22.133	194.23	11.69	0.54912	1.86501	4.79863	4.11725	4.37386	
24.181	199.07	11.82	0.562373	2.485	5.39574	4.715	4.97137	
26.139	206.69	12	0.583173	3.9	5.5671	5.31494	5.57032	
28.161	214.63	12.32	0.6052	4.13	6.03886	5.91225	5.89799	
30.081	219.15	13.09	0.619307	2.64499	6.63718	6.51306	6.15107	
32.063	224.28	13.87	0.635067	2.95353	7.23834	7.1128	6.72393	
34.083	231.23	14.85	0.656213	3.96699	7.83713	7.70562	7.31881	
36.142	238.36	15.85	0.677893	4.065	8.16287	8.30037	7.91714	
38.171	242.7	16.29	0.69064	2.39	8.55842	8.43023	8.48484	
40.274	242.82	16.29	0.69096	0.0599976	9.15421	8.82984	8.90081	
42.063	255.44	16.69	0.72568	6.50999	9.756	9.42519	9.50136	
44.13	255.44	16.69	0.72568	0	10.3539	10.0221	10.094	
46.086	255.75	16.77	0.72672	0.195105	10.815	10.6193	10.6878	
48.14	256.16	16.79	0.727867	0.214996	11.3351	11.2143	10.7196	
50.086	256.7	16.88	0.729547	0.315002	11.9333	11.8111	10.7196	
52.236	257.3	16.89	0.731173	0.305008	12.5335	12.4105	10.9741	
54.074	257.86	16.9	0.732693	0.284988	13.1289	13.0004	11.5665	
56.155	258.71	16.92	0.735013	0.435013	13.7206	13.5902	12.1656	
58.077	260.35	17.13	0.739947	0.924988	14.3171	14.1682	12.7698	
60.105	260.43	17.39	0.740853	0.170013	14.9055	14.1702	13.3566	
62.091	260.31	17.53	0.740907	0.00999451	15.5029	14.1702	13.9476	
64.289	260.39	17.66	0.741467	0.104891	16.101	14.1702	14.5432	
66.099	260.43	17.66	0.741573	0.0200243	16.6994	14.1702	15.1401	
68.154	262.03	18.13	0.747093	1.03449	17.283	14.2319	15.7416	
70.142	263.23	18.54	0.751387	0.805395	17.8787	14.7207	16.3174	
72.024	263.23	18.54	0.751387	0	18.4714	15.2981	16.4291	
74.099	263.24	18.52	0.75136	-0.00500488	19.0686	15.8899	16.8168	
76.191	263.31	18.52	0.751547	0.0350037	19.6697	16.486	17.4167	
78.136	263.31	18.54	0.7516	0.0100098	19.9284	17.0829	18.0158	
80.11	263.26	18.6	0.751627	0.00495002	20.523	17.6858	18.6182	
82.059	263.32	18.59	0.75176	0.0251955	21.1112	18.2816	18.8664	
84.006	270.34	18.86	0.7712	3.645	21.7003	18.8813	18.9446	
86.185	275.43	19.5	0.78648	2.86501	22.291	19.4849	19.5103	
88.078	279.05	20.54	0.798907	2.32884	22.8858	20.0775	20.1078	
90.055	287.46	21.14	0.822933	4.49826	23.483	20.6443	20.7065	
92.134	288.74	21.34	0.82688	0.741473	24.0841	20.6896	21.3087	
94.167	288.96	21.41	0.827653	0.145004	24.6806	21.022	21.9071	
96.029	289.58	21.51	0.829573	0.360001	25.2792	21.5981	22.5086	
98.2	290.61	21.69	0.8328	0.604693	25.8785	22.1977	23.1064	
100.245	292.03	21.7	0.836613	0.715369	26.4793	22.7969	23.7052	
102.16	296.78	21.8	0.849547	2.42499	27.0749	22.9451	24.3007	
104.007	299.76	21.82	0.857547	1.5	27.4173	23.1233	24.7742	
106.22	303.12	22.39	0.868027	1.96403	27.4173	23.7191	25.3575	
108.07	303.12	22.39	0.868027	0	27.4173	24.3106	25.9403	
110.055	305.65	22.74	0.875707	1.44071	27.4555	24.8869	26.531	
112.037	307.91	23.22	0.883013	1.37001	27.9747	25.4761	27.1314	
114.164	308.95	23.46	0.886427	0.639984	28.5725	26.0731	27.3093	
116.059	309.2	23.5	0.8872	0.145004	29.1725	26.6729	27.6776	
118.102	309.86	23.67	0.889413	0.415009	29.7718	27.2693	28.2715	
120.054	313.63	24.27	0.901067	2.185	30.3654	27.8583	28.8433	
122.039	319.8	24.83	0.919013	3.36499	30.9362	28.4514	29.4376	
124.002	320.32	24.59	0.91976	0.140015	31.5122	29.0402	30.0307	
126.063	320.43	24.61	0.920107	0.0650024	31.6292	29.4575	30.6255	
128.123	320.27	24.81	0.920213	0.019989	31.6292	29.4575	31.2249	
130.07	320.23	24.87	0.920267	0.00998951	31.6292	29.4575	31.8236	
132.108	320.21	24.9	0.920293	0.00500488	31.6292	29.4575	32.4172	
134.097	320.2	24.92	0.92032	0.00500739	31.6292	29.4659	33.0162	
136.115	319.92	25.34	0.920693	0.0699921	31.6292	29.9086	33.6146	
138.238	319.96	25.37	0.92088	0.0349862	31.6292	30.3779	34.2107	
140.132	319.95	25.47	0.92112	0.0450207	31.6292	30.9701	34.813	
141.94	319.97	25.51	0.92128	0.029999	31.6292	31.566	35.4008	
