Time	Free (m^2)	Occupied(m^2)	Explored Ratio	Explore Rate (m^2/s)	r1 dist (m)	r2 dist (m)	r3 dist (m)	
0.658	133.91	2.97	0.365013	136880	0	0	0	
1.143	133.91	2.97	0.365013	0	0	0	0	
1.587	133.91	2.97	0.365013	0	0	0	0	
2.093	133.91	2.97	0.365013	0	0	0	0	
2.661	133.91	2.97	0.365013	0	0	0	0	
3.174	133.79	3.09	0.365013	0	0	0	0	
3.687	133.79	3.09	0.365013	0	0	0	0	
4.242	133.79	3.09	0.365013	0	0	0	0	
4.688	133.79	3.09	0.365013	0	0	0	0	
5.104	133.78	3.1	0.365013	3.03356e-05	0	0	0	
5.57	133.78	3.1	0.365013	0	0	0	0	
6.06	133.78	3.1	0.365013	0	0	0	0	
6.537	133.78	3.1	0.365013	0	0	0	0.0124403	
7.121	137.3	3.59	0.375707	8.03603	0	0	0.0421454	
7.588	137.3	3.59	0.375707	0	0	0	0.0561739	
8.061	137.3	3.59	0.375707	0	0	0	0.0724512	
8.545	137.3	3.59	0.375707	0	0	0	0.101941	
9.072	137.29	3.6	0.375707	3.05176e-05	0	0	0.13706	
9.645	159.38	6.41	0.442107	49.6016	0	0	0.166694	
10.217	159.38	6.41	0.442107	0	0	0	0.19332	
10.681	159.38	6.41	0.442107	0	0	0	0.272344	
11.234	159.38	6.41	0.442107	0	0	0	0.414907	
11.665	168.8	8.04	0.471573	22.1	0	0	0.565761	
12.225	168.8	8.04	0.471573	0	0	0	0.700537	
12.869	168.8	8.04	0.471573	0	0	0	0.848057	
13.136	168.8	8.04	0.471573	0	0.00848832	0	0.998374	
13.72	169.99	8.55	0.476107	3.39996	0.0839468	0.0102275	1.14532	
14.307	169.99	8.55	0.476107	0	0.12328	0.102588	1.29755	
14.647	169.99	8.55	0.476107	0	0.175024	0.248901	1.44514	
15.146	169.99	8.55	0.476107	0	0.305354	0.398691	1.59528	
15.671	195.41	10.79	0.549867	55.4309	0.456023	0.549542	1.74768	
16.15	195.39	10.83	0.54992	0.0399287	0.605687	0.699542	1.89648	
16.705	195.39	10.83	0.54992	0	0.751458	0.850435	2.03957	
17.149	195.39	10.83	0.54992	0	0.905895	1.00043	2.19557	
17.805	196.37	11.22	0.553573	2.73999	1.05167	1.14593	2.34286	
18.166	197.12	11.27	0.555707	1.59046	1.20362	1.29686	2.49346	
18.714	197.12	11.27	0.555707	0	1.3515	1.44715	2.64388	
19.272	197.12	11.27	0.555707	0	1.49789	1.59647	2.79439	
19.719	198.31	11.37	0.559147	2.57999	1.64781	1.74258	2.94259	
20.237	200.16	11.46	0.56432	3.83403	1.79691	1.89166	3.09049	
20.801	200.16	11.46	0.56432	0	1.9499	2.04465	3.24311	
21.107	200.16	11.46	0.56432	0	2.09958	2.19413	3.38298	
21.671	200.28	11.47	0.564667	0.2605	2.24808	2.34192	3.5126	
22.148	204.5	11.71	0.57656	8.92001	2.39865	2.49321	3.62546	
22.803	204.5	11.71	0.57656	0	2.54924	2.64295	3.72849	
23.188	204.5	11.71	0.57656	0	2.69564	2.78671	3.81807	
23.62	206.84	11.87	0.583227	4.99997	2.84833	2.93941	3.89717	
24.119	212.7	12.2	0.599733	12.38	2.99831	3.08911	3.96102	
24.743	212.7	12.2	0.599733	0	3.1495	3.23979	4.01517	
25.213	212.7	12.2	0.599733	0	3.29679	3.38649	4.05513	
25.493	212.7	12.2	0.599733	0	3.45039	3.53709	4.08178	
Free:	318.6	occupied:	56.4	total:	375
