Time	rbt x	rbt y	x	y	cost	discount	ig	utility
4.918	9.18945e-09	-0.796875	0	0	0	0	0	0
6.418	0.00142612	-0.793458	0.5	7	0.792329	0.129803	1	0.948065
7.725	-0.0100304	-0.769981	0.5	7	0.792329	0.129803	1	0.948065
9.176	-0.0280293	-0.76813	0.5	7	0.792329	0.129803	1	0.948065
10.408	-0.0229248	-0.780061	0.2	9	0.30324	0.250712	0.928571	1.08829
11.907	-0.101683	-0.782709	0.2	9	0.30324	0.250712	0.928571	1.08829
13.206	-0.261822	-0.508983	0.2	9	0.30324	0.250712	0.928571	1.08829
14.687	-0.263179	-0.137412	1.3	10.8	0.275292	0.00166176	1	1.72138
15.944	-0.282026	0.273603	1.3	10.8	0.275292	0.00166176	1	1.72138
17.211	-0.29867	0.6881	1.3	10.8	0.275292	0.00166176	1	1.72138
18.501	-0.294832	1.04749	1.2	-11.2	0.247874	0	0.913043	1.57821
20.127	-0.293378	1.05945	1.2	-11.2	0.247874	0	0.913043	1.57821
21.231	-0.173054	1.01043	1.2	-11.2	0.247874	0	0.913043	1.57821
22.681	-0.0751149	0.598599	1.2	-11.2	0.251236	0	0.913043	1.57485
23.875	-0.0888841	0.25269	1.2	-11.2	0.251236	0	0.913043	1.57485
25.166	-0.0913574	-0.184741	1.2	-11.2	0.251236	0	0.913043	1.57485
26.727	-0.0980818	-0.593051	-1.3	-10.8	0.32982	0	1	1.67018
27.786	-0.108676	-0.953229	-1.3	-10.8	0.32982	0	1	1.67018
29.255	-0.151834	-1.38216	-1.3	-10.8	0.32982	0	1	1.67018
30.751	-0.193889	-1.79427	-1.3	-10.8	0.296037	0	1	1.70396
32.052	-0.201116	-2.14505	-1.3	-10.8	0.296037	0	1	1.70396
33.423	-0.234914	-2.58533	-1.3	-10.8	0.296037	0	1	1.70396
35.046	-0.263342	-2.95054	1.2	-11.2	0.172533	0.13907	0.7	1.03277
36.001	-0.265202	-3.44161	1.2	-11.2	0.172533	0.13907	0.7	1.03277
37.523	-0.267878	-3.74515	1.2	-11.2	0.172533	0.13907	0.7	1.03277
38.808	-0.269106	-4.18852	-1.3	-10.4	0.206434	0.391971	1	1.00962
40.11	-0.263246	-4.56624	-1.3	-10.4	0.206434	0.391971	1	1.00962
41.61	-0.272759	-4.97575	-1.3	-10.4	0.206434	0.391971	1	1.00962
42.985	-0.285129	-5.43134	-1.4	-10.8	0.237383	0	1	1.76262
44.275	-0.297643	-5.8369	-1.4	-10.8	0.237383	0	1	1.76262
45.804	-0.303894	-6.22168	-1.4	-10.8	0.237383	0	1	1.76262
47.312	-0.325429	-6.68089	-4.3	-5.1	0.0966139	0.443249	0.983607	0.998634
48.512	-0.367089	-6.8205	-4.3	-5.1	0.0966139	0.443249	0.983607	0.998634
49.772	-0.41081	-6.82354	-4.3	-5.1	0.0966139	0.443249	0.983607	0.998634
50.738	-0.422784	-6.80843	-4.3	-5.1	0.120263	0.323133	0.983607	1.21128
52.018	-0.416534	-6.81156	-4.3	-5.1	0.120263	0.323133	0.983607	1.21128
53.259	-0.416534	-6.81156	-4.3	-5.1	0.120263	0.323133	0.983607	1.21128
54.842	-0.419531	-6.80633	4.2	-5.3	0.109483	0.472646	1	0.945225
55.922	-0.380696	-6.50015	4.2	-5.3	0.109483	0.472646	1	0.945225
57.301	-0.0755198	-6.30953	4.2	-5.3	0.109483	0.472646	1	0.945225
58.584	0.325836	-6.20818	-5.5	-7.1	0.230203	0.00599527	1	1.75781
59.977	0.391845	-6.18923	-5.5	-7.1	0.230203	0.00599527	1	1.75781
61.27	0.400367	-6.2137	-5.5	-7.1	0.230203	0.00599527	1	1.75781
62.694	0.128453	-6.43141	-5.5	-7.1	0.244056	0	1	1.75594
64.181	-0.270743	-6.39837	-5.5	-7.1	0.244056	0	1	1.75594
65.271	-0.645117	-6.26166	-5.5	-7.1	0.244056	0	1	1.75594
66.687	-1.02027	-6.16401	-5.5	-7.1	0.220526	0	1	1.77947
68.144	-1.36682	-6.13826	-5.5	-7.1	0.220526	0	1	1.77947
69.163	-1.76768	-6.13448	-5.5	-7.1	0.220526	0	1	1.77947
70.645	-2.21106	-6.13329	-5.6	-7.1	0.194212	0	1	1.80579
71.904	-2.5558	-6.11276	-5.6	-7.1	0.194212	0	1	1.80579
73.536	-3.01237	-6.07846	-5.6	-7.1	0.194212	0	1	1.80579
74.701	-3.41515	-6.05416	5	-9.6	0.631904	0	1	1.3681
75.894	-3.52273	-6.05393	5	-9.6	0.631904	0	1	1.3681
77.287	-3.53165	-6.04064	5	-9.6	0.631904	0	1	1.3681
78.851	-3.26624	-5.87603	5.9	-7.3	0.383313	0	1	1.61669
79.988	-2.88734	-5.89349	5.9	-7.3	0.383313	0	1	1.61669
81.357	-2.45063	-5.93742	5.9	-7.3	0.383313	0	1	1.61669
82.798	-2.09242	-5.98637	5.9	-7.3	0.414908	0	1	1.58509
83.969	-1.70645	-6.01932	5.9	-7.3	0.414908	0	1	1.58509
85.197	-1.28238	-6.04866	5.9	-7.3	0.414908	0	1	1.58509
86.72	-0.863562	-6.08262	5.8	-7.3	0.341992	0	1	1.65801
88.061	-0.484578	-6.10082	5.8	-7.3	0.341992	0	1	1.65801
89.444	-0.106439	-6.10191	5.8	-7.3	0.341992	0	1	1.65801
90.73	0.318725	-6.11489	5	-9.7	0.588425	0	0.852459	1.11649
91.936	0.674042	-6.11386	5	-9.7	0.588425	0	0.852459	1.11649
93.139	1.10351	-6.13174	5	-9.7	0.588425	0	0.852459	1.11649
94.943	1.51284	-6.15408	5	-9.7	0.530009	0	0.852459	1.17491
96.11	1.9662	-6.16636	5	-9.7	0.530009	0	0.852459	1.17491
97.258	2.29424	-6.16149	5	-9.7	0.530009	0	0.852459	1.17491
98.402	2.70124	-6.15508	5	-9.7	0.437691	0	1	1.56231
